제품코드,순번,원료코드,함량
FJSL002,1.0,MXD-0002,85.6199
FJSL002,2.0,MK1-0001,4.5
FJSL002,3.0,MXE-0002,4.0
FJSL002,4.0,MKG-0001,2.0
FJSL002,5.0,MKH-0005,1.0
FJSL002,6.0,MVS-0005,0.55
FJSL002,7.0,MPS-0002,0.4
FJSL002,8.0,MXS-0008,0.3
FJSL002,9.0,MPE-0002,0.2
FJSL002,10.0,MKA-0001,0.1
FJSL002,11.0,MAM-0030,0.1
FJSL002,12.0,MKH-0006,0.1
FJSL002,13.0,MAB-0014,0.1
FJSL002,14.0,MAY-0007,0.1
FJSL002,15.0,MAM-0027,0.1
FJSL002,16.0,MAL-0022,0.1
FJSL002,17.0,MAR-0015,0.1
FJSL002,18.0,MAI-0005,0.1
FJSL002,19.0,MAB-0016,0.1
FJSL002,20.0,MXC-0001,0.05
FJSL002,21.0,MAL-0019,0.05
FJSL002,22.0,MAF-0006,0.05
FJSL002,23.0,MAS-0021,0.05
FJSL002,24.0,MAE-0013,0.05
FJSL002,25.0,MAG-0009,0.05
FJSL002,26.0,MAG-0021,0.05
FJSL002,27.0,MXE-0001,0.03
FJSL002,28.0,MXG-0003,0.02
FJSL002,29.0,MXL-0001,0.02
FJSL002,30.0,MAD-0002,0.01
FJSL002,31.0,MAS-0003,0.0001
FJCRM03,1.0,MXD-0002,38.26
FJCRM03,2.0,MAS-0032,20.0
FJCRM03,3.0,MOM-0004,10.0
FJCRM03,4.0,MK1-0001,6.0
FJCRM03,5.0,MON-0004,5.0
FJCRM03,6.0,MWL-0001,4.5
FJCRM03,7.0,MWE-0002,3.0
FJCRM03,8.0,MOD-0008,3.0
FJCRM03,9.0,MSO-0006,2.5
FJCRM03,10.0,MK1-0002,1.0
FJCRM03,11.0,MVA-0007,0.8
FJCRM03,12.0,MAL-0022,0.8
FJCRM03,13.0,MAR-0015,0.8
FJCRM03,14.0,MAI-0005,0.8
FJCRM03,15.0,MAB-0016,0.8
FJCRM03,16.0,MPS-0002,0.6
FJCRM03,17.0,MSK-0001,0.5
FJCRM03,18.0,MWS-0001,0.5
FJCRM03,19.0,MVA-0005,0.35
FJCRM03,20.0,MAF-0006,0.1
FJCRM03,21.0,MAS-0021,0.1
FJCRM03,22.0,MAE-0013,0.1
FJCRM03,23.0,MAG-0009,0.1
FJCRM03,24.0,MAG-0021,0.1
FJCRM03,25.0,MAM-0027,0.1
FJCRM03,26.0,MPL-0001,0.06
FJCRM03,27.0,MAV-0002,0.05
FJCRM03,28.0,MAC-0018,0.03
FJCRM03,29.0,MFB-0075,0.03
FJCRM03,30.0,MXE-0001,0.02
FJCR003,1.0,MXD-0002,38.26
FJCR003,2.0,MAS-0032,20.0
FJCR003,3.0,MOM-0004,10.0
FJCR003,4.0,MK1-0001,6.0
FJCR003,5.0,MON-0004,5.0
FJCR003,6.0,MWL-0001,4.5
FJCR003,7.0,MWE-0002,3.0
FJCR003,8.0,MOD-0008,3.0
FJCR003,9.0,MSO-0006,2.5
FJCR003,10.0,MK1-0002,1.0
FJCR003,11.0,MVA-0007,0.8
FJCR003,12.0,MAL-0022,0.8
FJCR003,13.0,MAR-0015,0.8
FJCR003,14.0,MAI-0005,0.8
FJCR003,15.0,MAB-0016,0.8
FJCR003,16.0,MPS-0002,0.6
FJCR003,17.0,MSK-0001,0.5
FJCR003,18.0,MWS-0001,0.5
FJCR003,19.0,MVA-0005,0.35
FJCR003,20.0,MAF-0006,0.1
FJCR003,21.0,MAS-0021,0.1
FJCR003,22.0,MAE-0013,0.1
FJCR003,23.0,MAG-0009,0.1
FJCR003,24.0,MAG-0021,0.1
FJCR003,25.0,MAM-0027,0.1
FJCR003,26.0,MPL-0001,0.06
FJCR003,27.0,MAV-0002,0.05
FJCR003,28.0,MAC-0018,0.03
FJCR003,29.0,MFB-0075,0.03
FJCR003,30.0,MXE-0001,0.02
FJPK001,1.0,MXD-0002,47.91700000000001
FJPK001,2.0,MSM-0013,12.0
FJPK001,3.0,MKG-0001,9.0
FJPK001,4.0,MVA-0006,8.0
FJPK001,5.0,MSM-0023,8.0
FJPK001,6.0,MXM-0006,6.5
FJPK001,7.0,MSP-0005,6.0
FJPK001,8.0,MKM-0004,0.5
FJPK001,9.0,MPS-0003,0.4
FJPK001,10.0,MXN-0004,0.36
FJPK001,11.0,MFS-0062,0.35
FJPK001,12.0,MAB-0012,0.2
FJPK001,13.0,MVK-0001,0.12
FJPK001,14.0,MPL-0001,0.1
FJPK001,15.0,MAT-0012,0.1
FJPK001,16.0,MAB-0015,0.1
FJPK001,17.0,MAS-0034,0.1
FJPK001,18.0,MAY-0007,0.1
FJPK001,19.0,MAT-0011,0.1
FJPK001,20.0,MXD-0001,0.01
FJPK001,21.0,MAF-0006,0.01
FJPK001,22.0,MAS-0021,0.01
FJPK001,23.0,MAE-0013,0.01
FJPK001,24.0,MAS-0029,0.01
FJPK001,25.0,MXC-0001,0.001
FJPK001,26.0,MXL-0001,0.001
FJPK001,27.0,MXS-0001,0.001
MLDM029,1.0,MXD-0002,83.29
MLDM029,2.0,MKE-0001,12.0
MLDM029,3.0,MSE-0025,2.2
MLDM029,4.0,MKG-0001,1.0
MLDM029,5.0,MFS-0099,0.8
MLDM029,6.0,MPP-0005,0.7
MLDM029,7.0,MAP-0031,0.01
MLDM030,1.0,MXD-0002,83.29
MLDM030,2.0,MKE-0001,12.0
MLDM030,3.0,MSE-0025,2.2
