ingredient_code,file_type,original_filename,file_path,file_size
MAA-0035,COA,MAA-0035_Amino Acid Solution_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0035_Amino Acid Solution_COA.pdf,395456
MAA-0035,COA,MAA-0035_Amino Acid Solution_영문 COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0035_Amino Acid Solution_영문 COA.pdf,414766
MAA-0036,COA,MAA-0036_Ascorbic Acid Fine Powder.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0036_Ascorbic Acid Fine Powder.pdf,1202603
MAA-0037,COA,MAA-0037_아티초크잎추출물-PF.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0037_아티초크잎추출물-PF.pdf,565462
MAA-0038,COA,MAA-0038_Houttuynia Cordata Extract-HD_COA(ENG).pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0038_Houttuynia Cordata Extract-HD_COA(ENG).pdf,63104
MAA-0038,COA,MAA-0038_어성초 추출수_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0038_어성초 추출수_COA.pdf,307874
MAA-0039,COA,MAA-0039_아텔로콜라겐솔루션(0.1%)(CC0ICE-000C)COA_T2R0.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0039_아텔로콜라겐솔루션(0.1%)(CC0ICE-000C)COA_T2R0.pdf,300984
MAA-0039,COA,MAA-0039_아텔로콜라겐솔루션(0.1%)_영문coa.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0039_아텔로콜라겐솔루션(0.1%)_영문coa.pdf,416741
MAB-0012,COA,MAB-0012_Byungpul Extract_COA(ENG).pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAB-0012_Byungpul Extract_COA(ENG).pdf,113289
MAB-0012,COA,MAB-0012_병풀추출물.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAB-0012_병풀추출물.pdf,587813
MAB-0012,COA,MAB-0012_병풀추출물_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAB-0012_병풀추출물_COA.pdf,403223
MAB-0014,COA,MAB-0014_Blue Complex H_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAB-0014_Blue Complex H_COA.pdf,166879
MAB-0014,COA,MAB-0014_Blue Complex H_영문COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAB-0014_Blue Complex H_영문COA.pdf,141479
