ingredient_code,file_type,original_filename,file_path,file_size,file_extension
MAA-0021,COA,MAA-0021_COA(Adenosine)_20211216.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0021_COA(Adenosine)_20211216.pdf,136328,.pdf
MAA-0024,COA,MAA-0024_아카시아추출물-NP_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0024_아카시아추출물-NP_COA.pdf,284949,.pdf
MAA-0026,COA,MAA-0026_레몬밤추출물(C0AA0B-000A)COA_T0R0.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0026_레몬밤추출물(C0AA0B-000A)COA_T0R0.pdf,273571,.pdf
MAA-0026,COA,MAA-0026_레몬밤추출물(C0AA0B-000A)영문 COA_T1R0.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0026_레몬밤추출물(C0AA0B-000A)영문 COA_T1R0.pdf,616934,.pdf
MAA-0028,COA,MAA-0028_Azura 3 Complex0001.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0028_Azura 3 Complex0001.pdf,684063,.pdf
MAA-0028,COA,MAA-0028_Azura 3 Complex0001_coa.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0028_Azura 3 Complex0001_coa.pdf,279799,.pdf
MAA-0028,COA,MAA-0028_Azure 3 Complex_영문 COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0028_Azure 3 Complex_영문 COA.pdf,415372,.pdf
MAA-0030,COA,MAA-0030_안젤리카추출물(CA0B0D-000C)COA_T1R0.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0030_안젤리카추출물(CA0B0D-000C)COA_T1R0.pdf,368490,.pdf
MAA-0032,COA,MAA-0032_아로니아열매 추출물 H.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0032_아로니아열매 추출물 H.pdf,635293,.pdf
MAA-0032,COA,MAA-0032_아로니아열매추출물 H_영문COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0032_아로니아열매추출물 H_영문COA.pdf,224840,.pdf
MAA-0033,COA,MAA-0033_악마의발톱뿌리추출물-PF.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0033_악마의발톱뿌리추출물-PF.pdf,612338,.pdf
MAA-0034,COA,MAA-0034_은행나무잎추출물.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0034_은행나무잎추출물.pdf,610889,.pdf
MAA-0034,COA,MAA-0034_은행나무잎추출물_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0034_은행나무잎추출물_COA.pdf,129644,.pdf
MAA-0035,COA,MAA-0035_Amino Acid Solution_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0035_Amino Acid Solution_COA.pdf,395456,.pdf
MAA-0035,COA,MAA-0035_Amino Acid Solution_영문 COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0035_Amino Acid Solution_영문 COA.pdf,414766,.pdf
MAA-0036,COA,MAA-0036_Ascorbic Acid Fine Powder.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0036_Ascorbic Acid Fine Powder.pdf,1202603,.pdf
MAA-0037,COA,MAA-0037_아티초크잎추출물-PF.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0037_아티초크잎추출물-PF.pdf,565462,.pdf
MAA-0038,COA,MAA-0038_Houttuynia Cordata Extract-HD_COA(ENG).pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0038_Houttuynia Cordata Extract-HD_COA(ENG).pdf,63104,.pdf
MAA-0038,COA,MAA-0038_어성초 추출수_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0038_어성초 추출수_COA.pdf,307874,.pdf
MAA-0039,COA,MAA-0039_아텔로콜라겐솔루션(0.1%)(CC0ICE-000C)COA_T2R0.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0039_아텔로콜라겐솔루션(0.1%)(CC0ICE-000C)COA_T2R0.pdf,300984,.pdf
MAA-0039,COA,MAA-0039_아텔로콜라겐솔루션(0.1%)_영문coa.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAA-0039_아텔로콜라겐솔루션(0.1%)_영문coa.pdf,416741,.pdf
MAB-0012,COA,MAB-0012_Byungpul Extract_COA(ENG).pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAB-0012_Byungpul Extract_COA(ENG).pdf,113289,.pdf
MAB-0012,COA,MAB-0012_병풀추출물.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAB-0012_병풀추출물.pdf,587813,.pdf
MAB-0012,COA,MAB-0012_병풀추출물_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAB-0012_병풀추출물_COA.pdf,403223,.pdf
MAB-0014,COA,MAB-0014_Blue Complex H_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAB-0014_Blue Complex H_COA.pdf,166879,.pdf
MAB-0014,COA,MAB-0014_Blue Complex H_영문COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAB-0014_Blue Complex H_영문COA.pdf,141479,.pdf
MAB-0015,COA,MAB-0015_Nymphaea Caerulea Flower Extract-PF_영문MSDS.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAB-0015_Nymphaea Caerulea Flower Extract-PF_영문MSDS.pdf,196905,.pdf
MAB-0015,COA,MAB-0015_푸른연꽃추출물_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAB-0015_푸른연꽃추출물_COA.pdf,317213,.pdf
MAB-0016,COA,MAB-0016_Bifida Ferment Extract-HD_COA(ENG).pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAB-0016_Bifida Ferment Extract-HD_COA(ENG).pdf,63420,.pdf
MAB-0016,COA,MAB-0016_비피다발효추출물-HD.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAB-0016_비피다발효추출물-HD.pdf,690178,.pdf
MAB-0018,COA,MAB-0018_BioDTox.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAB-0018_BioDTox.pdf,182411,.pdf
MAB-0018,COA,MAB-0018_BioDTox®_영문COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAB-0018_BioDTox®_영문COA.pdf,144000,.pdf
MAB-0019,COA,MAB-0019_BRILLAIN MB218_Brilliance_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAB-0019_BRILLAIN MB218_Brilliance_COA.pdf,47014,.pdf
MAC-0001,COA,MAC-0001_Chamomile Ext..pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAC-0001_Chamomile Ext..pdf,145056,.pdf
MAC-0001,COA,MAC-0001_Chamomile Flower Extract_COA(ENG).pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAC-0001_Chamomile Flower Extract_COA(ENG).pdf,63703,.pdf
MAC-0001,COA,MAC-0001_캐모마일꽃추출물_COA(ENG).pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAC-0001_캐모마일꽃추출물_COA(ENG).pdf,87761,.pdf
MAC-0001,COA,MAC-0001_캐모마일꽃추출물_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAC-0001_캐모마일꽃추출물_COA.pdf,84242,.pdf
MAC-0018,COA,MAC-0018_Ceramide 3B.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAC-0018_Ceramide 3B.pdf,511505,.pdf
MAC-0018,COA,MAC-0018_DS-CERAMIDE Y30_CRODA_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAC-0018_DS-CERAMIDE Y30_CRODA_COA.pdf,22217,.pdf
MAC-0021,COA,MAC-0021_Caffein anhydrous 98.5%_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAC-0021_Caffein anhydrous 98.5%_COA.pdf,59387,.pdf
MAC-0038,COA,MAC-0038_크랜베리추출물_영문 COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAC-0038_크랜베리추출물_영문 COA.pdf,419435,.pdf
MAC-0040,COA,MAC-0040_Centella Asiatica Extract(Madecassoside)_Composition.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAC-0040_Centella Asiatica Extract(Madecassoside)_Composition.pdf,320819,.pdf
