ingredient_code,ingredient_name,manufacturer,origin_country,purchase_type,purchase_method
MFT-0022,Frag-58140 [= 구 (EVAS-60901)],쎈텍㈜,쎈텍㈜,무작위,원료실
MFT-0023,TEVW 50611/01,타임향료,타임향료,무작위,원료실
MFT-0024,TEVO 70125,타임향료,타임향료,무작위,원료실
MFT-0025,TEVO 70126,타임향료,타임향료,무작위,원료실
MFT-0026,TEVO 70128,타임향료,타임향료,무작위,원료실
MFT-0028,TEVW 50102/01,타임향료,타임향료,무작위,원료실
MFT-0029,TEVW 90901,타임향료,타임향료,무작위,원료실
MFT-0030,TEVH 111201,타임향료,타임향료,무작위,원료실
MFT-0031,Tulip-32083,,,무작위,원료실
MFW-0001,Wild Berry A121201,타임향료,타임향료,무작위,원료실
MK1-0001,"1,3-BG",Kh Neo Chem,삼광켐,무작위,원료실
MK1-0002,Zicos PR-HE Zero,(주)지코,(주)지코,무작위,원료실
MKA-0001,Purabeet [=Genencare OSMS BA],BETA PURA,인코스(주),무작위,원료실
MKC-0001,Cellplus,바이오랜드,바이오랜드,무작위,원료실
MKC-0003,CLEAR HA-100,Bloomage Freda Biopharm,타임향료,무작위,원료실
MKC-0004,CES-1104,NuSil,케이에스켐,무작위,원료실
MKD-0003,Dermosoft Octiol,Dr.Straetman,하나무역,무작위,원료실
MKD-0004,Dub Diol,Stearinerie Dubois Fils,제이피켐,무작위,원료실
MKD-0005,Diglycerin,SOCC,(주)케미랜드,무작위,원료실
MKD-0006,Dipropylene Glycol (DPG),SKC㈜,(주)블루켐,무작위,원료실
MKE-0001,Ethanol,Lactanol,신환상사,무작위,원료실
MKF-0001,Floraesters K-20W,Floratech,한주씨앤씨,무작위,원료실
MKG-0001,Glycerin,IOI OLEOCHEMICAL,주식회사가온케미칼,무작위,원료실
MKH-0003,HPDR (Powder),Javentech,에스앤디랩,무작위,원료실
MKH-0004,HA1-20,주식회사 에코텍아이앤씨,주식회사 에코텍아이앤씨,무작위,원료실
MKH-0005,Hydsol-6,G&BBIO,(주)블루켐,무작위,원료실
MKH-0006,히아루론산1%(HD),G&BBIO,(주)블루켐,무작위,원료실
MKI-0003,Isocell Life,Lucas Meyer, ,무작위,원료실
MKI-0004,MPO,Playground Corp,(주)블루켐,무작위,원료실
MKI-0005,IPG-S,"Kuraray Co., Ltd",(주)한스코리아,무작위,원료실
MKL-0001,Liponic EG-1,Vantage,(주)블루켐,무작위,원료실
MKM-0002,Manatol 7070,LG 생활건강,해피콜,무작위,원료실
MKM-0003,Moist 24,Sederma,다미화학,무작위,원료실
MKM-0004,Merquat 550 PR,,(주)삼정트레이딩,무작위,원료실
MKM-0005,Moisclean AP-2,NFC Corporation,(주)블루켐,무작위,원료실
MKO-0001,Osmocide-2,Sederma,케이에스켐,무작위,원료실
MKP-0001,PG,SKC,(주)삼광켐,무작위,원료실
MKP-0003,Amino 8 Complex,내추럴솔루션,내추럴솔루션,무작위,원료실
MKP-0004,PEG-16 Macadamia ,FLORATECH,한주씨앤씨,무작위,원료실
MKP-0005,"Bioran 1,2 PD (=Purolan PD)",Lamxess,인코스,무작위,원료실
MKP-0006,Polyglycerin-3,Huayi,㈜한주씨앤씨 ,무작위,원료실
MKS-0002,Sunquat L60,주식회사썬화인글로벌,주식회사썬화인글로벌,무작위,원료실
