ingredient_code,ingredient_name,manufacturer,origin_country,purchase_type,purchase_method
MVB-0003,Bentone gel VS-5PCV,Elementis,우진트레이딩,무작위,원료실
MVC-0001,CMC,㈜보락,(주)블루켐,무작위,원료실
MVC-0003,Carbopol-940,Lubrizol,㈜블루켐,무작위,원료실
MVC-0004,Carbopol-941,noveon,㈜블루켐,무작위,원료실
MVC-0009,Carbopol-ETD 2020,Lubrizol,㈜블루켐,무작위,원료실
MVC-0010,Esaflor EC3,lamberti,(주)코스파인,무작위,원료실
MVE-0001,EB-21,"AJINOMOTO CO.,INC.",인코스㈜,무작위,원료실
MVE-0002,EC-GEL-id,㈜에코텍아이앤씨,㈜에코텍아이앤씨,무작위,원료실
MVG-0003,GP-1,"AJINOMOTO CO.,INC.",인코스㈜,무작위,원료실
MVH-0002,한천,(주)한국카라겐순천공장,(주)한국카라겐순천공장,무작위,원료실
MVK-0001,Keltrol F,Kelco,이현화학,무작위,원료실
MVK-0002,Kraton G 1702,,,무작위,원료실
MVL-0001,Lubrajel DV,Guardian,다미화학,무작위,원료실
MVL-0002,Hydrojel MSKC,Guardian,이우화학,무작위,원료실
MVL-0003,Hydrojel OILKC,Guardian,이우화학,무작위,원료실
MVL-0004,Laponite XLG,BYK Additives Inc.,㈜블루켐,무작위,원료실
MVM-0002,Makimousse 25,DAITO KASEI,화코스텍인터내셔날,무작위,원료실
MVN-0001,Natrosol 250HR (NF) [Aqualon],Ash Land,케이에스켐,무작위,원료실
MVN-0002,Natural Cellulose Powder,Ennagram,디알케미칼,무작위,원료실
MVN-0003,Nomcort HK-P,Nisshin Oillio,다미화학,무작위,원료실
MVN-0004,Nomcort HK-G,Nisshin Oillio,다미화학,무작위,원료실
MVP-0003,Polyox (WS205),DOW CHEM,(주)이현에프앤씨,무작위,원료실
MVP-0005,PVP K-30,Yu King Industrial Ltd.,㈜블루켐,무작위,원료실
MVP-0006,Pemulen TR-1,Lubrizol,㈜블루켐,무작위,원료실
MVP-0009,Polyquta 400KC,KCI,㈜태창물산,무작위,원료실
MVS-0001,Sepigel 305,Seppic,지원씨앤에스,무작위,원료실
MVS-0004,Sumecton,kunimine,서한코스켐,무작위,원료실
MVS-0005,Sepinov EMT-10,SEPPIC,㈜블루켐,무작위,원료실
MVS-0006,Structure XL,Nouryon,주식회사 한송,무작위,원료실
MVS-0007,Supcare HSA,SHANGHAI HUANQIU INDUSTRIAL DEVELOPMENT ,(주)비즈켐,무작위,원료실
MVT-0001,Thixcin R,Elementis,㈜블루켐,무작위,원료실
MVV-0001,Veegum-HV,Vanderbilt                                                        ,(주)지코,무작위,원료실
MVV-0004,Viscolam AT 100／EF ,Lamberti,(주)코스파인,무작위,원료실
MVV-0005,Vivapharm CS152HV [JRS],j. rettenmaier & söhne,(주)디알 켐 무역,무작위,원료실
MVZ-0001,Zilgel Oil,Zile,금강트레이딩,무작위,원료실
MWA-0003,Abil Wax 9801,Evonik,에스앤디랩,무작위,원료실
MWC-0007,Cosmethicone SF-240-55, ,한주씨앤씨,무작위,원료실
MWC-0008,CBL NC-11,CJ,노바켐,무작위,원료실
MWC-0009,Premium Vagetable Candle Wax,Elevance,미시우먼,무작위,원료실
MWD-0001,DC 2501 Cosmetic Wax,한국다우코닝,상진씨앤티,무작위,원료실
MWE-0001,Edenor 7036V 50NF (Emersol),Emery,(주)한백씨앤에프,무작위,원료실
MWE-0002,Stearyl Alcohol C18/98,MUSIM MAS,(주)한백씨앤에프,무작위,원료실
MWE-0004,Cetyl Alcohol C16/98 (Mascol),MUSIM MAS,(주)한백씨앤에프,무작위,원료실
MWI-0001,IGI Accumelt Waxes 72,The International,케미랜드,무작위,원료실
MWK-0001,Kalchol-6870[Kao],KAO,해피콜,무작위,원료실
MWK-0002,Kalchol 8688 [Kao],KAO,해피콜,무작위,원료실
MWK-0003,Kahlwax 7636,KahlWax,케이에스켐,무작위,원료실
MWL-0001,Kalcohol 6850 PI,Pilipinas Kao,대봉엘에스㈜,무작위,원료실
MWL-0003,Lauric Acid (Edenor C12-99 MY),Emery,서현테크켐,무작위,원료실
MWL-0004,Kalcol 4098,KAO,㈜한백씨앤에프,무작위,원료실
MWM-0001,Microcrystalline Wax SP-19,Strahl&Pitsch,세일 ,무작위,원료실
MWM-0002,Multi Wax,Sonnoborn,(주)원풍약품상사,무작위,원료실
MWM-0005,Mango Butter,O&3 THE OIL FAMILY,(주)코스빌,무작위,원료실
MWM-0006,Myristic Acid (Edenor C14-99 MY),Emery,서현테크켐,무작위,원료실
MWO-0002,Oliwax LC,B&T S.r.l,하나무역,무작위,원료실
MWP-0004,Pola Wax GP-200,CRODA,세창상사,무작위,원료실
MWP-0006,Palmac 98-12,Acidchem,이현화학,무작위,원료실
MWP-0007,Palmac 98-14,Acidchem,이현화학,무작위,원료실
MWP-0008,Palmac 98-16,Acidchem,이현화학,무작위,원료실
MWP-0009,Stearic Acid (Edenor ST 05M MY),Emery,서현테크켐,무작위,원료실
MWP-0011,Performa SW 84 synthetic wax (Performalene 400),Nucera solutions,㈜블루켐,무작위,원료실
MWS-0001,Lipex Shea(Shea Butter) [AAK],ASK(AAK),케이에스켐,무작위,원료실
MWV-0001,Vaseline (super white),Sonnoborn,원풍,무작위,원료실
MWW-0001,Ceratrom B-Wax ,TH.C.TROMM,한주씨앤씨,무작위,원료실
MXA-0003,Apnc 20,애경소재,애경소재,무작위,원료실
MXA-0004,Antara 430,Ash Land,㈜블루켐,무작위,원료실
MXA-0005,Altevo Deep Blue,알터네이처,에이엘티엔 주식회사,무작위,원료실
MXB-0001,"Black Brown Sugar
(유기농　흑설탕）",,아마조나스,무작위,원료실
MXB-0002,Black Sugar,,씨제이제일제당,무작위,원료실
MXB-0004,Brillian-CSA,Brillian,㈜블루켐,무작위,원료실
MXB-0005,BioGenic MagicSpear-100AB,(주)바이오제닉스,(주)바이오제닉스,무작위,원료실
MXB-0006,BioGenic PCM CSS(28) 50T-XHO,(주)바이오제닉스,(주)바이오제닉스,무작위,원료실
MXC-0001,Citric Acid,Jungbunzlauer,(주)이현에프앤씨,무작위,원료실
MXC-0002,Climbazole,Yancheng Luye Chemical,미산캠프,무작위,원료실
MXC-0004,Chlorhexidine Gluconate 20%,SALICYLATES AND CHEMICALS,(주)나노젠,무작위,원료실
MXC-0005,Coffee Exfoliator 1000,,㈜지코,무작위,원료실
MXC-0006,DL-Camphor,Tien Yuan,㈜블루켐,무작위,원료실
MXC-0007,Cydex-S,(주)대상,㈜한백씨앤에프,무작위,원료실
MXC-0008,CaCl2 (anhydrous 96%) ,삼전순약공업㈜,랩사이언스,무작위,원료실
MXC-0009,Cooling Agent WS-23,Anhui Fengle Perfume,인코스(주),무작위,원료실
MXC-0010,Cerax LC-10,Chongqing Zhihe Bio-Pharmaceutical Co. Ltd.,㈜이우바이오,무작위,원료실
MXD-0001,D-Panthenol,DSM,세로켐,무작위,원료실
MXD-0002,정제수,에바스코스메틱,에바스코스메틱,무작위,원료실
MXD-0004,Emalex TA-100(Varisoft TA 100),Evonik,,무작위,원료실
MXD-0005,D.H.A,MERCK,㈜블루켐,무작위,원료실
MXE-0001,Dissolvine NA2 (EDTA-2Na),Nagase Chem,주식회사 한송,무작위,원료실
MXE-0002,Emulgade-CM,BASF,(주)한백씨앤에프,무작위,원료실
MXG-0002,Gold Powder(금설),한일금박,한일금박,무작위,원료실
MXG-0003,Glycolic Acid (70%/시약),삼전순약,랩사이언스,무작위,원료실
MXG-0004,Gluconic Acid (50%/시약),삼전순약,랩사이언스,무작위,원료실
MXH-0002,한주소금,,(주)블루켐,무작위,원료실
MXH-0003,호주산천일염,,이노맥스,무작위,원료실
MXI-0001,Triclosan,,(주)나노젠,무작위,원료실
MXK-0002,KOH (시약),덕산화학,덕산약품공업（주）,무작위,원료실
MXL-0001,Lactic Acid(90%),삼전순약,랩싸이언스,무작위,원료실
MXL-0002,Aluminum Chlorohydrate (Micro-Dry 3115 / =Locron P),ELEMENTIS,（주）해피콜,무작위,원료실
MXL-0003,Luviset Clear AT3,BASF SE,(주)한백씨앤에프,무작위,원료실
MXM-0001,L-Menthol,Anhui Fengle Perfume,(주)블루켐,무작위,원료실
MXM-0002,미용소금,,(주)태평소금,무작위,원료실
MXM-0003,Mihapol PQ11-20,미원상사,미원상사,무작위,원료실
MXM-0004,Plascize L-8066U,GOO Chemical,블루켐,무작위,원료실
MXM-0005,"Magnesium sulfate, anhydrous 98% (MgSO4)",삼전순약,랩싸이언스,무작위,원료실
MXM-0006,MPE-010 [휘발성/밀봉주의],RICH UP,(주)이현에프앤씨,무작위,원료실
MXN-0003,Nacl(시약급),삼전순약,랩사이언스,무작위,원료실
MXN-0004,NaOH(시약급),덕산약품,비엠하이테크,무작위,원료실
MXO-0001,옥수수 전분,DAESANG,(주)블루켐,무작위,원료실
MXP-0001,PVA-1788,"JAPAN VAM & POVAL CO., LTD.",㈜블루켐,무작위,원료실
MXP-0002,Phytic Acid (50%),"TOKYO CHEMICAL INDUSTRY CO., LTD. ",랩싸이언스,무작위,원료실
MXP-0003,Papain Powder,씨앤비바이오,씨앤비바이오,무작위,원료실
MXS-0001,Salicylic Acid,NOVACYL,미성코스메틱(주),무작위,원료실
MXS-0008,Sodium Citrate,Jungbunzlauer,㈜이현에프앤씨,무작위,원료실
MXS-0009,Sodium Disulfite(SMBS),Junsei(일),삼전순약,무작위,원료실
MXS-0010,SH-고추틴크(HC),,,무작위,원료실
MXS-0011,소듐바이카보네이트 (99%/ NaHCO3),삼전순약,(주)블루켐,무작위,원료실
MXS-0012,소듐설파이트 (95%/ 아황산나트륨/ Na2SO3),삼전순약,랩싸이언스,무작위,원료실
MXS-0013,백설 하얀설탕,씨제이제일제당,,무작위,원료실
MXS-0014,Sodium Guaiazulene Sulfonate,SINOWAY, ㈜ 에코텍아이앤씨,무작위,원료실
MXS-0015,Sodium DNA (C)(P),유엔케이코리아,블루켐,무작위,원료실
MXT-0001,TEA,미원상사,탑케미칼,무작위,원료실
MXT-0005,Tromethamine,Longlife,(주)한주씨앤씨,무작위,원료실
MXV-0001,VBE,,,무작위,원료실
MXV-0002,Vermiculite(질석),(주)유화엠에스,(주)유화엠에스,무작위,원료실
MXV-0003,Vivapur CS 300 R5,JRS,(주)디알 캠 무역,무작위,원료실
MXW-0001,40/100 Walnut Shell Power,,썬화인글로벌,무작위,원료실
ZMM-0042,상황버섯균사체발효알로에추출물,,,무작위,원료실
