ingredient_code,file_type,original_filename,storage_path,public_url,status,error,file_size
MAA-0032,COA,MAA-0032_아로니아열매추출물 H_영문COA.pdf,MAA-0032/COA/MAA-0032_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0032/COA/MAA-0032_COA_002.pdf,skipped,,224840
MAA-0035,COA,MAA-0035_Amino Acid Solution_COA.pdf,MAA-0035/COA/MAA-0035_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0035/COA/MAA-0035_COA_001.pdf,skipped,,395456
MAA-0035,COA,MAA-0035_Amino Acid Solution_영문 COA.pdf,MAA-0035/COA/MAA-0035_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0035/COA/MAA-0035_COA_002.pdf,skipped,,414766
MAA-0030,COA,MAA-0030_안젤리카추출물(CA0B0D-000C)COA_T1R0.pdf,MAA-0030/COA/MAA-0030_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0030/COA/MAA-0030_COA_001.pdf,skipped,,368490
MAA-0038,COA,MAA-0038_Houttuynia Cordata Extract-HD_COA(ENG).pdf,MAA-0038/COA/MAA-0038_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0038/COA/MAA-0038_COA_001.pdf,skipped,,63104
MAA-0037,COA,MAA-0037_아티초크잎추출물-PF.pdf,MAA-0037/COA/MAA-0037_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0037/COA/MAA-0037_COA_001.pdf,skipped,,565462
MAA-0036,COA,MAA-0036_Ascorbic Acid Fine Powder.pdf,MAA-0036/COA/MAA-0036_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0036/COA/MAA-0036_COA_001.pdf,skipped,,1202603
MAA-0038,COA,MAA-0038_어성초 추출수_COA.pdf,MAA-0038/COA/MAA-0038_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0038/COA/MAA-0038_COA_002.pdf,skipped,,307874
MAA-0039,COA,MAA-0039_아텔로콜라겐솔루션(0.1%)(CC0ICE-000C)COA_T2R0.pdf,MAA-0039/COA/MAA-0039_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0039/COA/MAA-0039_COA_001.pdf,skipped,,300984
MAA-0039,COA,MAA-0039_아텔로콜라겐솔루션(0.1%)_영문coa.pdf,MAA-0039/COA/MAA-0039_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0039/COA/MAA-0039_COA_002.pdf,skipped,,416741
MAB-0012,COA,MAB-0012_Byungpul Extract_COA(ENG).pdf,MAB-0012/COA/MAB-0012_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0012/COA/MAB-0012_COA_001.pdf,skipped,,113289
MAB-0012,COA,MAB-0012_병풀추출물.pdf,MAB-0012/COA/MAB-0012_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0012/COA/MAB-0012_COA_002.pdf,skipped,,587813
MAB-0012,COA,MAB-0012_병풀추출물_COA.pdf,MAB-0012/COA/MAB-0012_COA_003.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0012/COA/MAB-0012_COA_003.pdf,skipped,,403223
MAB-0015,COA,MAB-0015_Nymphaea Caerulea Flower Extract-PF_영문MSDS.pdf,MAB-0015/COA/MAB-0015_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0015/COA/MAB-0015_COA_001.pdf,skipped,,196905
MAB-0016,COA,MAB-0016_Bifida Ferment Extract-HD_COA(ENG).pdf,MAB-0016/COA/MAB-0016_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0016/COA/MAB-0016_COA_001.pdf,skipped,,63420
MAB-0015,COA,MAB-0015_푸른연꽃추출물_COA.pdf,MAB-0015/COA/MAB-0015_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0015/COA/MAB-0015_COA_002.pdf,skipped,,317213
MAB-0014,COA,MAB-0014_Blue Complex H_COA.pdf,MAB-0014/COA/MAB-0014_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0014/COA/MAB-0014_COA_001.pdf,skipped,,166879
MAB-0014,COA,MAB-0014_Blue Complex H_영문COA.pdf,MAB-0014/COA/MAB-0014_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0014/COA/MAB-0014_COA_002.pdf,skipped,,141479
MAB-0016,COA,MAB-0016_비피다발효추출물-HD.pdf,MAB-0016/COA/MAB-0016_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0016/COA/MAB-0016_COA_002.pdf,skipped,,690178
MAB-0018,COA,MAB-0018_BioDTox.pdf,MAB-0018/COA/MAB-0018_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0018/COA/MAB-0018_COA_001.pdf,skipped,,182411
MAB-0018,COA,MAB-0018_BioDTox®_영문COA.pdf,MAB-0018/COA/MAB-0018_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0018/COA/MAB-0018_COA_002.pdf,skipped,,144000
MAB-0019,COA,MAB-0019_BRILLAIN MB218_Brilliance_COA.pdf,MAB-0019/COA/MAB-0019_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0019/COA/MAB-0019_COA_001.pdf,skipped,,47014
MAC-0001,COA,MAC-0001_Chamomile Flower Extract_COA(ENG).pdf,MAC-0001/COA/MAC-0001_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0001/COA/MAC-0001_COA_002.pdf,skipped,,63703
MAC-0001,COA,MAC-0001_캐모마일꽃추출물_COA.pdf,MAC-0001/COA/MAC-0001_COA_004.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0001/COA/MAC-0001_COA_004.pdf,skipped,,84242
MAC-0001,COA,MAC-0001_캐모마일꽃추출물_COA(ENG).pdf,MAC-0001/COA/MAC-0001_COA_003.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0001/COA/MAC-0001_COA_003.pdf,skipped,,87761
MAC-0001,COA,MAC-0001_Chamomile Ext..pdf,MAC-0001/COA/MAC-0001_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0001/COA/MAC-0001_COA_001.pdf,skipped,,145056
MAC-0018,COA,MAC-0018_Ceramide 3B.pdf,MAC-0018/COA/MAC-0018_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0018/COA/MAC-0018_COA_001.pdf,skipped,,511505
MAC-0018,COA,MAC-0018_DS-CERAMIDE Y30_CRODA_COA.pdf,MAC-0018/COA/MAC-0018_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0018/COA/MAC-0018_COA_002.pdf,skipped,,22217
MAC-0021,COA,MAC-0021_Caffein anhydrous 98.5%_COA.pdf,MAC-0021/COA/MAC-0021_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0021/COA/MAC-0021_COA_001.pdf,skipped,,59387
MAC-0041,COA,MAC-0041_WSS_COA.pdf,MAC-0041/COA/MAC-0041_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0041/COA/MAC-0041_COA_001.pdf,skipped,,31258
MAC-0038,COA,MAC-0038_크랜베리추출물_영문 COA.pdf,MAC-0038/COA/MAC-0038_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0038/COA/MAC-0038_COA_001.pdf,skipped,,419435
MAC-0040,COA,MAC-0040_Centella Asiatica Extract(Madecassoside)_Composition.pdf,MAC-0040/COA/MAC-0040_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0040/COA/MAC-0040_COA_001.pdf,skipped,,320819
MAC-0040,COA,MAC-0040_Centella Asiatica.pdf,MAC-0040/COA/MAC-0040_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0040/COA/MAC-0040_COA_002.pdf,skipped,,883126
MAC-0043,COA,MAC-0043_7K Collagen Complex_CoA.pdf,MAC-0043/COA/MAC-0043_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0043/COA/MAC-0043_COA_001.pdf,skipped,,73036
MAC-0044,COA,MAC-0044_Calamine powder_COA.pdf,MAC-0044/COA/MAC-0044_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0044/COA/MAC-0044_COA_001.pdf,skipped,,54466
MAC-0045,COA,MAC-0045_CHOLESTEROL JP_COA.pdf,MAC-0045/COA/MAC-0045_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0045/COA/MAC-0045_COA_001.pdf,skipped,,223601
MAD-0002,COA,MAD-0002_DPG_COA.pdf,MAD-0002/COA/MAD-0002_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAD-0002/COA/MAD-0002_COA_001.pdf,skipped,,201410
MAD-0015,COA,MAD-0015_Dextrose anhydrous 98__DUKSAN_COA.pdf,MAD-0015/COA/MAD-0015_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAD-0015/COA/MAD-0015_COA_001.pdf,skipped,,97993
MAD-0002,COA,MAD-0002_STEVITEN LICO DPG_COA.pdf,MAD-0002/COA/MAD-0002_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAD-0002/COA/MAD-0002_COA_002.pdf,skipped,,270610
MAE-0013,COA,MAE-0013_Evas Herb Complex(HD)_SPEC_국문.pdf,MAE-0013/COA/MAE-0013_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0013/COA/MAE-0013_COA_001.pdf,skipped,,77649
MAD-0012,COA,MAD-0012_당호박추출물.pdf,MAD-0012/COA/MAD-0012_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAD-0012/COA/MAD-0012_COA_001.pdf,skipped,,601573
MAE-0013,COA,MAE-0013_Evas Herb Complex(HD)_SPEC_영문.pdf,MAE-0013/COA/MAE-0013_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0013/COA/MAE-0013_COA_002.pdf,skipped,,229218
MAE-0013,COA,MAE-0013_EVAS Herb Complex.pdf,MAE-0013/COA/MAE-0013_COA_003.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0013/COA/MAE-0013_COA_003.pdf,skipped,,658296
MAE-0013,COA,MAE-0013_EVAS Herb Complex_COA_영문.pdf,MAE-0013/COA/MAE-0013_COA_004.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0013/COA/MAE-0013_COA_004.pdf,skipped,,308216
MAE-0015,COA,MAE-0015_에바스-Pro Complex.pdf,MAE-0015/COA/MAE-0015_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0015/COA/MAE-0015_COA_001.pdf,skipped,,596953
MAE-0014,COA,MAE-0014_EGF-L10.pdf,MAE-0014/COA/MAE-0014_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0014/COA/MAE-0014_COA_001.pdf,skipped,,239325
MAE-0015,COA,MAE-0015_에바스-Pro Complex_영문 COA.pdf,MAE-0015/COA/MAE-0015_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0015/COA/MAE-0015_COA_002.pdf,skipped,,415405
MAE-0016,COA,MAE-0016_유칼립투스추출물_COA.pdf,MAE-0016/COA/MAE-0016_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0016/COA/MAE-0016_COA_001.pdf,skipped,,327300
MAE-0018,COA,MAE-0018_Elastin H-HD.pdf,MAE-0018/COA/MAE-0018_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0018/COA/MAE-0018_COA_001.pdf,skipped,,312134
MAE-0016,COA,MAE-0016_유칼립투스추출물_영문COA.pdf,MAE-0016/COA/MAE-0016_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0016/COA/MAE-0016_COA_002.pdf,skipped,,419210
MAE-0018,COA,MAE-0018_ELASTIN H-HD_COA(ENG).pdf,MAE-0018/COA/MAE-0018_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0018/COA/MAE-0018_COA_002.pdf,skipped,,63191
MAE-0019,COA,MAE-0019_SPECBIO ECTOIN_COA.pdf,MAE-0019/COA/MAE-0019_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0019/COA/MAE-0019_COA_001.pdf,skipped,,434684
MAE-0019,COA,MAE-0019_SpecBio® Ectoine_SPEC.pdf,MAE-0019/COA/MAE-0019_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0019/COA/MAE-0019_COA_002.pdf,skipped,,514764
MAE-0020,COA,MAE-0020_EVAS Anti-odor Complex_COA.pdf,MAE-0020/COA/MAE-0020_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0020/COA/MAE-0020_COA_001.pdf,skipped,,86261
MAF-0006,COA,MAF-0006_Fresh Green Bud(무방부)_영문 COA.pdf,MAF-0006/COA/MAF-0006_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAF-0006/COA/MAF-0006_COA_001.pdf,skipped,,417354
MAF-0006,COA,MAF-0006_Fresh Green Bud.pdf,MAF-0006/COA/MAF-0006_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAF-0006/COA/MAF-0006_COA_002.pdf,skipped,,772298
MAF-0008,COA,MAF-0008_FruitMax Brown 900 WS.pdf,MAF-0008/COA/MAF-0008_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAF-0008/COA/MAF-0008_COA_001.pdf,skipped,,451513
MAF-0008,COA,MAF-0008_FRUITMAX BROWN 900 WS_COA.pdf,MAF-0008/COA/MAF-0008_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAF-0008/COA/MAF-0008_COA_002.pdf,skipped,,321865
MAF-0008,COA,MAF-0008_FruitMax Brown 900WS COA.PDF,MAF-0008/COA/MAF-0008_COA_003.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAF-0008/COA/MAF-0008_COA_003.pdf,skipped,,32894
MAG-0007,COA,MAG-0007_Gluadin W 40.pdf,MAG-0007/COA/MAG-0007_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0007/COA/MAG-0007_COA_001.pdf,skipped,,189564
MAG-0009,COA,MAG-0009_Green Tea Ext..pdf,MAG-0009/COA/MAG-0009_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0009/COA/MAG-0009_COA_001.pdf,skipped,,600242
MAG-0009,COA,MAG-0009_Green Tea Ext_COA(ENG).pdf,MAG-0009/COA/MAG-0009_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0009/COA/MAG-0009_COA_002.pdf,skipped,,63511
MAG-0007,COA,MAG-0007_HIZ Wheat Protein_COA.pdf,MAG-0007/COA/MAG-0007_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0007/COA/MAG-0007_COA_002.pdf,skipped,,128655
MAG-0012,COA,MAG-0012 자몽추출물-PF_COA_111SWD.pdf,MAG-0012/COA/MAG-0012_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0012/COA/MAG-0012_COA_001.pdf,skipped,,126818
MAG-0021,COA,MAG-0021_갈락토미세스 발효여과물.pdf,MAG-0021/COA/MAG-0021_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0021/COA/MAG-0021_COA_001.pdf,skipped,,490718
MAG-0012,COA,MAG-0012_Grapefruit Extract-PF_COA(ENG)_107XWD.pdf,MAG-0012/COA/MAG-0012_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0012/COA/MAG-0012_COA_002.pdf,skipped,,89160
MAG-0021,COA,MAG-0021_갈락토미세스발효여과물_영문COA.pdf,MAG-0021/COA/MAG-0021_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0021/COA/MAG-0021_COA_002.pdf,skipped,,414642
MAG-0024,COA,MAG-0024_감귤추출물_COA(영문).pdf,MAG-0024/COA/MAG-0024_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0024/COA/MAG-0024_COA_001.pdf,skipped,,250465
MAG-0024,COA,MAG-0024_감귤추출물_COA국문.pdf,MAG-0024/COA/MAG-0024_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0024/COA/MAG-0024_COA_002.pdf,skipped,,260878
MAG-0027,COA,MAG-0027_L-Glutathione_Kaiping_COA.pdf,MAG-0027/COA/MAG-0027_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0027/COA/MAG-0027_COA_001.pdf,skipped,,616208
MAG-0026,COA,MAG-0026_검정콩추출물.pdf,MAG-0026/COA/MAG-0026_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0026/COA/MAG-0026_COA_001.pdf,skipped,,613776
MAG-0027,COA,MAG-0027_L-Glutathione_Kyowa_COA.pdf,MAG-0027/COA/MAG-0027_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0027/COA/MAG-0027_COA_002.pdf,skipped,,603367
MAG-0029,COA,MAG-0029_가르니시아열매추출물.pdf,MAG-0029/COA/MAG-0029_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0029/COA/MAG-0029_COA_001.pdf,skipped,,583238
MAG-0028,COA,MAG-0028_녹차파우더 GB 3000.pdf,MAG-0028/COA/MAG-0028_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0028/COA/MAG-0028_COA_001.pdf,skipped,,205911
MAG-0030,COA,MAG-0030_금사연둥지.pdf,MAG-0030/COA/MAG-0030_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0030/COA/MAG-0030_COA_001.pdf,skipped,,650360
MAG-0031,COA,MAG-0031_GREEN WS-P HIGH_COA.pdf,MAG-0031/COA/MAG-0031_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0031/COA/MAG-0031_COA_001.pdf,skipped,,288135
MAG-0032,COA,MAG-0032_GINSENOSIDES SOLUTION_COA.pdf,MAG-0032/COA/MAG-0032_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0032/COA/MAG-0032_COA_001.pdf,skipped,,238086
MAG-0032,COA,MAG-0032_Ginsenosides Solution_SPEC.pdf,MAG-0032/COA/MAG-0032_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0032/COA/MAG-0032_COA_002.pdf,skipped,,83363
