ingredient_code,coa_urls,coa_count,composition_urls,composition_count,msds_kr_urls,msds_kr_count,msds_en_urls,msds_en_count,total_files
MKH-0005,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKH-0005/COA/MKH-0005_COA_001.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKH-0005/COA/MKH-0005_COA_003.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKH-0005/COA/MKH-0005_COA_002.pdf""]",3,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKH-0005/COMP/MKH-0005_COMP_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKH-0005/MSDS_KR/MKH-0005_MSDS_KR_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKH-0005/MSDS_EN/MKH-0005_MSDS_EN_001.pdf""]",1,6
MKH-0006,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKH-0006/COA/MKH-0006_COA_001.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKH-0006/COA/MKH-0006_COA_002.pdf""]",2,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKH-0006/COMP/MKH-0006_COMP_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKH-0006/MSDS_KR/MKH-0006_MSDS_KR_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKH-0006/MSDS_EN/MKH-0006_MSDS_EN_001.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKH-0006/MSDS_EN/MKH-0006_MSDS_EN_002.pdf""]",2,6
MKI-0001,[],0,[],0,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKI-0001/MSDS_KR/MKI-0001_MSDS_KR_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKI-0001/MSDS_EN/MKI-0001_MSDS_EN_001.pdf""]",1,2
MKI-0004,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKI-0004/COA/MKI-0004_COA_001.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKI-0004/COA/MKI-0004_COA_002.pdf""]",2,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKI-0004/COMP/MKI-0004_COMP_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKI-0004/MSDS_KR/MKI-0004_MSDS_KR_001.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKI-0004/MSDS_KR/MKI-0004_MSDS_KR_002.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKI-0004/MSDS_KR/MKI-0004_MSDS_KR_003.pdf""]",3,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKI-0004/MSDS_EN/MKI-0004_MSDS_EN_002.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKI-0004/MSDS_EN/MKI-0004_MSDS_EN_001.pdf""]",2,8
MKL-0001,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKL-0001/COA/MKL-0001_COA_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKL-0001/COMP/MKL-0001_COMP_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKL-0001/MSDS_KR/MKL-0001_MSDS_KR_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKL-0001/MSDS_EN/MKL-0001_MSDS_EN_001.pdf""]",1,4
MKM-0002,[],0,[],0,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKM-0002/MSDS_KR/MKM-0002_MSDS_KR_001.pdf""]",1,[],0,1
MKM-0004,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKM-0004/COA/MKM-0004_COA_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKM-0004/COMP/MKM-0004_COMP_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKM-0004/MSDS_KR/MKM-0004_MSDS_KR_001.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKM-0004/MSDS_KR/MKM-0004_MSDS_KR_002.pdf""]",2,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKM-0004/MSDS_EN/MKM-0004_MSDS_EN_001.pdf""]",1,5
MKM-0005,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKM-0005/COA/MKM-0005_COA_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKM-0005/COMP/MKM-0005_COMP_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKM-0005/MSDS_KR/MKM-0005_MSDS_KR_001.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKM-0005/MSDS_KR/MKM-0005_MSDS_KR_002.pdf""]",2,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKM-0005/MSDS_EN/MKM-0005_MSDS_EN_001.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKM-0005/MSDS_EN/MKM-0005_MSDS_EN_002.pdf""]",2,6
MKP-0001,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKP-0001/COA/MKP-0001_COA_002.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKP-0001/COA/MKP-0001_COA_001.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKP-0001/COA/MKP-0001_COA_003.pdf""]",3,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKP-0001/COMP/MKP-0001_COMP_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKP-0001/MSDS_KR/MKP-0001_MSDS_KR_002.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKP-0001/MSDS_KR/MKP-0001_MSDS_KR_001.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKP-0001/MSDS_KR/MKP-0001_MSDS_KR_003.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKP-0001/MSDS_KR/MKP-0001_MSDS_KR_004.pdf""]",4,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKP-0001/MSDS_EN/MKP-0001_MSDS_EN_001.pdf""]",1,9
MKP-0003,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKP-0003/COA/MKP-0003_COA_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKP-0003/COMP/MKP-0003_COMP_002.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKP-0003/COMP/MKP-0003_COMP_001.pdf""]",2,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKP-0003/MSDS_KR/MKP-0003_MSDS_KR_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKP-0003/MSDS_EN/MKP-0003_MSDS_EN_001.pdf""]",1,5
