id,ingredient_code,component_order,inci_name_en,inci_name_kr,cas_number,composition_ratio,function,country_of_origin,created_at
06dfcefe-2210-4463-a6db-9272706795b6,MSE-0013,1,PEG-40 Castor Oil,피이지-40캐스터오일,61791-12-6 (Generic),100.0000,Surfactant,독일,2026-01-28 16:37:18.006524+00
07138534-a58f-43f1-bb2e-10ee70e5fbb0,MKC-0003,4,Ethylhexylglycerin,에칠헥실글리세린,70445-33-9,0.0500,Skin Conditioning Agent,중국,2026-01-28 16:37:18.006524+00
0729b8d9-d705-40d9-b4bf-84d8a9ba42ac,MFF-0003,1,Fragrance,향료,-,100.0000,Fragrance,대한민국,2026-01-28 16:37:16.589765+00
07322517-6cdc-41fe-a68c-19c39f2536d7,MAR-0016,6,"1,2-Hexanediol","1,2-헥산다이올",6920-22-5,2.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
07467098-0478-45e3-ac49-559faa1900b4,MAV-0006,12,Ceramide NP,세라마이드엔피,-,0.0000,Skin Conditioning Agent,,2026-01-28 16:37:16.589765+00
0762783f-e6ee-480b-835d-83102a45808b,MKS-0002,2,Propyiene Glycol,프로필렌글라이콜,57-55-6,33.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:18.006524+00
077eade8-8eba-4a70-b8aa-c6aedf8c4390,MAU-0005,3,Citrus Junos Fruit Extract,유자추출물,-,5.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
079d6e51-4485-4539-ab31-f7f2647e7819,MCV-0001,1,CI 60730,자색401호,4430-18-6,100.0000,Colorant,일본,2026-01-28 16:37:16.589765+00
07b967fa-745b-40ab-bd92-b7e02c605112,MKP-0003,2,Butylene Glycol,부틸렌글라이콜,107-88-0,30.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:18.006524+00
07be9438-3ef3-4b0e-80bc-904f764b0389,MWM-0005,1,Mangifera Indica (Mango) Seed Butter,망고씨버터,"90063-86-8
(generic)",100.0000,Skin Conditioning Agent,인도,2026-01-28 16:37:18.006524+00
07ce136a-4661-48ef-a544-964d5cd1e1d9,MAA-0022,6,PEG-2M,피이지-2M,25322-68-3,0.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
081379a8-54fd-489e-9a93-18ec6797a186,MOC-0011,1,Melia Azadirachta Leaf Extract,인도멀구슬나무잎추출물,84696-25-3/90063-92-6,40.0000,Skin Conditioning Agent,싱가포르,2026-01-28 16:37:18.006524+00
081a535a-1df3-436a-8e66-887b1464cd69,MFD-0008,1,Fragrance,향료,-,100.0000,Fragrance,대한민국,2026-01-28 16:37:16.589765+00
081e84e0-2cd8-4b7c-a0b6-255b9f5625f9,MXN-0003,1,Sodium Chloride,소듐클로라이드,7647-14-5,100.0000,Viscosity-Increasing Agent,대한민국,2026-01-28 16:37:18.006524+00
0828df9e-25f7-456d-aec1-8e2a820c4482,MAP-0038,4,Jojoba Esters,호호바에스터,61789-91-1,1.0000,Skin Conditioning Agent,중국,2026-01-28 16:37:16.589765+00
084c62a4-30a2-4d4c-bf3e-2b14590bbd1b,MAP-0021,1,Pinus Sylvestris Bud Extract,구주소나무싹추출물,-,100.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
086293bc-8d96-4d54-842c-054e8da427ab,MKC-0004,7,Carbomer,카보머,9003-01-4,0.0000,Skin Conditioning Agent,미국,2026-01-28 16:37:18.006524+00
0881d2f1-e89c-4439-aff5-48c1a7812757,MFS-0044,1,Fragrance,향료,-,100.0000,Fragrance,,2026-01-28 16:37:18.006524+00
089fc77e-fb8c-4513-bbc7-062e99a3f445,MVH-0002,1,Agar,아가,9002-18-0,100.0000,Viscosity Increasing Agent,한국,2026-01-28 16:37:18.006524+00
08b06a15-1249-4cc9-90dd-8ad47d2100a4,MFK-0025,1,Fragrance,향료,-,100.0000,Fragrance,,2026-01-28 16:37:16.589765+00
08c86e88-eacd-4bf7-8ac2-0042e5fd7ee2,MFF-0005,1,Fragrance,향료,-,100.0000,Fragrance,대한민국,2026-01-28 16:37:16.589765+00
08dc1235-f78b-4654-b465-a18cbf3c4d38,MFW-0001,1,Fragrance,향료,-,100.0000,Fragrance,,2026-01-28 16:37:18.006524+00
08fed941-fc2b-49ec-9e14-bd5b2eb13380,MCC-0009,2,Titanium Oxide,티타늄디옥사이드,13463-67-7,8.0000,Pearlizing Agent,중국,2026-01-28 16:37:16.589765+00
094cab2a-206e-46ec-badb-973504ead57f,MWO-0002,1,Cetyl Palmitate,세틸팔미테이트,540-10-3,0.0000,Skin Conditioning Agent,,2026-01-28 16:37:18.006524+00
