ingredient_code,ingredient_name,spec_item,spec_standard,result_value,result_date,test_method,remarks
MAE-0017,에델바이스추출물-SP,pH,4.0 ~ 7.0,,,,
MAE-0017,에델바이스추출물-SP,중금속,10 ppm이하,,,,
MAE-0017,에델바이스추출물-SP,비소,2 ppm이하,,,,
MAE-0017,에델바이스추출물-SP,미생물,100cfu/ml,,,,
MSE-0026,Zicos SU-20 (=Emalex GWIS-320EX),성상,미황색의 액상,,,,
MSE-0026,Zicos SU-20 (=Emalex GWIS-320EX),산가,10 이하,,,,
MSE-0026,Zicos SU-20 (=Emalex GWIS-320EX),검화가,80 ~ 100,,,,
MSE-0026,Zicos SU-20 (=Emalex GWIS-320EX),요오드가,3 이하,,,,
MVE-0001,EB-21,성상,"흰색~연한노란색분말,특이취",,,,
MVE-0001,EB-21,융점,183 ~ 196,,,,
MVE-0001,EB-21,중금속,10ppm 이하,,,,
MVE-0001,EB-21,비소,1ppm 이하,,,,
MVE-0001,EB-21,수분,0.5% 이하,,,,
MVE-0001,EB-21,강열잔분,1.0% 이하,,,,
MPE-0002,EZ-Naturocide(S),성상,"무색~연황색의 액상,특이취",,,,
MPE-0002,EZ-Naturocide(S),pH,5.9 ~ 7.9,,,,
MPE-0002,EZ-Naturocide(S),비중(d20),1.000 ~ 1.050,,,,
MPE-0002,EZ-Naturocide(S),비소,2ppm 이하,,,,
MPE-0002,EZ-Naturocide(S),미생물,100cfu/ml,,,,
MAE-0018,Elastin H-HD,성상,무색의 액체,,,,
MAE-0018,Elastin H-HD,pH,5.0 ~ 8.0,,,,
MAE-0018,Elastin H-HD,비중(d20),0.98 ~ 1.04,,,,
MAE-0018,Elastin H-HD,납,10 ppm 이하,,,,
MAE-0018,Elastin H-HD,비  소,2 ppm 이하,,,,
MAE-0018,Elastin H-HD,미생물,100cfu/ml,,,,
MXE-0002,Emulgade-CM,성상,흰색의 에멀젼,,,,
MXE-0002,Emulgade-CM,점도,800 이하,,,,
MXE-0002,Emulgade-CM,pH,3.0 ~ 3.3,,,,
MXE-0002,Emulgade-CM,비중(d20),0.970 ~ 0.980,,,,
MXE-0002,Emulgade-CM,산가,1.0 ~ 2.0,,,,
MFE-0020,Eucalyptus Oil,성상,무색~연한 황색의 액체,,,,
MFE-0020,Eucalyptus Oil,냄새,표준품에준함,,,,
MFE-0020,Eucalyptus Oil,비중(d20),0.905 ~ 0.919,,,,
MFE-0020,Eucalyptus Oil,굴절률,1.458 ~ 1.465,,,,
MSE-0027,Elotant SCA,성상,황색의 맑은 액체,,,,
MSE-0027,Elotant SCA,pH,7.5 ~ 9.0,,,,
MSE-0028,Etomix - HC25,성상,흰색의 플레이크,,,,
MSE-0028,Etomix - HC25,pH,5.0 ~ 7.5,,,,
MSE-0028,Etomix - HC25,수분,1% 이하,,,,
MFE-0021,Essential Complex 200602,성상,황색의 액상,,,,
MFE-0021,Essential Complex 200602,향취,표준품에 준함,,,,
MFE-0021,Essential Complex 200602,비중,0.846 ~ 0.886,,,,
MFE-0021,Essential Complex 200602,굴절률,1.451 ~ 1.491,,,,
MSE-0029,Enzyme Powder Wash 700-25,성상,백색의 파우더,,,,
MSE-0029,Enzyme Powder Wash 700-25,향취,표준품에 준함,,,,
MSE-0029,Enzyme Powder Wash 700-25,건조감량,8% 이하,,,,
MSE-0029,Enzyme Powder Wash 700-25,납,10 ppm 이하,,,,
MSE-0029,Enzyme Powder Wash 700-25,비  소,2 ppm 이하,,,,
MSE-0029,Enzyme Powder Wash 700-25,미생물,100cfu/g,,,,
MPE-0003,EZ-Naturocide (M-3),성상,무색 ~ 연하노란색의 액상,,,,
MPE-0003,EZ-Naturocide (M-3),향취,표준품에 준함,,,,
MPE-0003,EZ-Naturocide (M-3),비중,1.010 ~ 1.060,,,,
MPE-0003,EZ-Naturocide (M-3),비소,2 ppm 이하,,,,
MPE-0003,EZ-Naturocide (M-3),납,10 ppm 이하,,,,
MPE-0003,EZ-Naturocide (M-3),미생물,100cfu/g,,,,
MPE-0003,EZ-Naturocide (M-3),PH,3.0 ~ 4.5,,,,
MSE-0030,Elotant Milcoside 304,성상,점성이 있는 액체,,,,
MSE-0030,Elotant Milcoside 304,향취,고유색,,,,
MSE-0030,Elotant Milcoside 304,점도,"500 - 2,500",,,,
MSE-0030,Elotant Milcoside 304,PH,11.00 ~ 12.00,,,,
MSE-0030,Elotant Milcoside 304,수분,45 ~ 49,,,,
MAE-0020,EVAS Anti-odor Complex,성상,황색의 액체,,,,
MAE-0020,EVAS Anti-odor Complex,향취,표준품에 준함,,,,
MAE-0020,EVAS Anti-odor Complex,비중,0.98 ~ 1.04,,,,
MAE-0020,EVAS Anti-odor Complex,비소,2 ppm 이하,,,,
MAE-0020,EVAS Anti-odor Complex,납,10 ppm 이하,,,,
MAE-0020,EVAS Anti-odor Complex,미생물,100cfu/g,,,,
MAE-0020,EVAS Anti-odor Complex,PH,3.5 ~ 6.5,,,,
MVE-0002,EC-GEL-id,성상,옅은 황갈색의 페이스트,,,,
MVE-0002,EC-GEL-id,향취,표준품에 준함,,,,
MVE-0002,EC-GEL-id,비소,10 ppm 이하,,,,
MVE-0002,EC-GEL-id,납,10 ppm 이하,,,,
MAF-0006,Fresh Green Bud,성상,연갈색의 액상,,,,
MAF-0006,Fresh Green Bud,P H,4.00 ~ 7.00,,,,
MAF-0006,Fresh Green Bud,비중(d25),0.980 ~ 1.040,,,,
MAF-0006,Fresh Green Bud,미생물,100Cfu/g 이하,,,,
MAF-0006,Fresh Green Bud,납,10ppm 이하,,,,
MAF-0006,Fresh Green Bud,비소,2ppm 이하,,,,
MCF-0002,FD&C Green No.3,성상,금속성광택을가진암녹색의과립분말,,,,
MCF-0002,FD&C Green No.3,중금속,20ppm 이하,,,,
MCF-0002,FD&C Green No.3,비소,2ppm 이하,,,,
MCF-0002,FD&C Green No.3,건조감량,10.0% 이하,,,,
MCF-0005,황색 4호 (FD_C Yellow No.5) [Kishi],성상,황색가루,,,,
MCF-0005,황색 4호 (FD_C Yellow No.5) [Kishi],중금속,10ppm 이하,,,,
MCF-0005,황색 4호 (FD_C Yellow No.5) [Kishi],비소,2ppm 이하,,,,
MCF-0005,황색 4호 (FD_C Yellow No.5) [Kishi],미생물,100Cfu/g 이하,,,,
MFF-0004,Ferra One MX FS2015418,성상,연황색투명액상,,,,
MFF-0004,Ferra One MX FS2015418,냄새,표준품에 준함,,,,
MFF-0004,Ferra One MX FS2015418,굴절률(n20),1.450 ~ 1.480,,,,
MFF-0004,Ferra One MX FS2015418,비중(d20),0.930 ~ 0.950,,,,
MOF-0005,Frescolat ML Cryst,성상,"백색의침상형결정성가루,특이취",,,,
MOF-0005,Frescolat ML Cryst,P H,4.00 ~ 8.00,,,,
MOF-0005,Frescolat ML Cryst,산가,2.0 이하,,,,
MOF-0006,Florasun-90,성상,무색의투명액상,,,,
MOF-0006,Florasun-90,굴절률(n40),1.455 ~ 1.475,,,,
MOF-0006,Florasun-90,산가,1 이하,,,,
MOF-0006,Florasun-90,요오드가,75 ~ 87,,,,
MFF-0003,Ferra One FY8008187,성상,연황색투명액상,,,,
MFF-0003,Ferra One FY8008187,냄새,표준품에 준함,,,,
MFF-0003,Ferra One FY8008187,굴절률(n20),1.470 ~ 1.480,,,,
MFF-0003,Ferra One FY8008187,비중(d20),0.900 ~ 0.910,,,,
MFF-0005,Frag-24221,성상,미황색 ~ 황색의 액상,,,,
MFF-0005,Frag-24221,냄새,표준품에 준함,,,,
MFF-0005,Frag-24221,굴절률(n20),1.453 ~ 1.463,,,,
MFF-0005,Frag-24221,비중(d20),0.985 ~ 0.995,,,,
MAF-0007,후코이단추출물,성상,"미갈색의 해조류,특이취",,,,
MAF-0007,후코이단추출물,P H,4.00 ~ 7.00,,,,
MAF-0007,후코이단추출물,미생물,100 cfu/g 이하,,,,
MCF-0006,FD&C Yellow  No.6,성상,황적색의 과립또는분말,,,,
MCF-0006,FD&C Yellow  No.6,중금속,20ppm 이하,,,,
MCF-0006,FD&C Yellow  No.6,비소,2ppm 이하,,,,
MCF-0006,FD&C Yellow  No.6,건조감량,10.0% 이하,,,,
MCF-0001,FD&C Blue No.1,성상,금속성광택을띤적자색의과립또는분말,,,,
MCF-0001,FD&C Blue No.1,중금속,20ppm 이하,,,,
MCF-0001,FD&C Blue No.1,비소,2ppm 이하,,,,
MCF-0001,FD&C Blue No.1,건조감량,10.0% 이하,,,,
MFF-0006,Frag-25071,성상,미황색 ~ 황색의 액상,,,,
MFF-0006,Frag-25071,냄새,표준품에 준함,,,,
MFF-0006,Frag-25071,굴절률(n20),1.462 ~ 1.472,,,,
MFF-0006,Frag-25071,비중(d20),0.944 ~ 0.954,,,,
MFF-0007,Frag-27330,성상,미황색 ~ 황색의 액상,,,,
MFF-0007,Frag-27330,냄새,표준품에 준함,,,,
MFF-0007,Frag-27330,굴절률(n20),1.486 ~ 1.496,,,,
MFF-0007,Frag-27330,비중(d20),0.988 ~ 0.998,,,,
MFF-0008,Frag-28644,성상,미황색 ~ 황색의 액상,,,,
MFF-0008,Frag-28644,냄새,표준품에 준함,,,,
MFF-0008,Frag-28644,굴절률(n20),1.460 ~ 1.470,,,,
MFF-0008,Frag-28644,비중(d20),0.974 ~ 0.984,,,,
MFF-0009,Frag-28645,성상,미황색 ~ 황색의 액상,,,,
MFF-0009,Frag-28645,냄새,표준품에 준함,,,,
MFF-0009,Frag-28645,굴절률(n20),1.476 ~ 1.486,,,,
MFF-0009,Frag-28645,비중(d20),0.986 ~ 0.996,,,,
MFF-0011,Fresh Floral 15P03560,성상,투명 ~ 미황색의 액상,,,,
MFF-0011,Fresh Floral 15P03560,냄새,표준품에 준함,,,,
MFF-0011,Fresh Floral 15P03560,굴절률(n20),1.490 ~ 1.500,,,,
MFF-0011,Fresh Floral 15P03560,비중(d20),0.970 ~ 0.980,,,,
MFF-0016,Frag-29110,성상,미황색 ~ 황색의 액상,,,,
MFF-0016,Frag-29110,냄새,표준품에 준함,,,,
MFF-0016,Frag-29110,굴절률(n20),1.444 ~ 1.464,,,,
MFF-0016,Frag-29110,비중(d20),1.030 ~ 1.050,,,,
MFF-0015,"Floral Fresh
15P04546",성상,미황색 ~ 황색의 액상,,,,
MFF-0015,"Floral Fresh
15P04546",냄새,표준품에 준함,,,,
MFF-0015,"Floral Fresh
15P04546",굴절률(n20),1.4576 ~ 1.4776,,,,
MFF-0015,"Floral Fresh
15P04546",비중(d20),0.903 ~ 0.923,,,,
MFF-0017,"Floral Fresh
15P04551",성상,미황색 ~ 황색의 액상,,,,
MFF-0017,"Floral Fresh
15P04551",냄새,표준품에 준함,,,,
MFF-0017,"Floral Fresh
15P04551",굴절률(n20),1.444 ~ 1.464,,,,
MFF-0017,"Floral Fresh
15P04551",비중(d20),1.030 ~ 1.050,,,,
MFF-0018,Florista A121205,성상,미황색 액상,,,,
MFF-0018,Florista A121205,향취,표준품에 준함,,,,
MFF-0018,Florista A121205,굴절률(n20),1.457 ~ 1.497,,,,
MFF-0018,Florista A121205,비중(d20),0.952 ~ 0.992,,,,
MFF-0017,Floral Fruity D50866,성상,미황색 ~ 황색의 액상,,,,
MFF-0017,Floral Fruity D50866,냄새,표준품에 준함,,,,
MFF-0017,Floral Fruity D50866,굴절률(n20),1.488 ~ 1.498,,,,
MFF-0017,Floral Fruity D50866,비중(d20),0.970 ~ 0.980,,,,
MFF-0012,"Floral Powdery
95-L15336",성상,미황색 ~ 황색의 액상,,,,
MFF-0012,"Floral Powdery
95-L15336",냄새,표준품에 준함,,,,
MFF-0012,"Floral Powdery
95-L15336",굴절률(n20),1.509 ~ 1.529,,,,
MFF-0012,"Floral Powdery
95-L15336",비중(d20),1.024 ~ 1.044,,,,
MFF-0010,Frag-27860,성상,미황색 ~ 황색의 액상,,,,
MFF-0010,Frag-27860,냄새,표준품에 준함,,,,
MFF-0010,Frag-27860,굴절률(n20),1.473 ~ 1.493,,,,
MFF-0010,Frag-27860,비중(d20),0.990 ~ 1.010,,,,
MFF-0020,Frag-62975,성상,무색 ~ 미황색의 액상,,,,
MFF-0020,Frag-62975,냄새,표준품에 준함,,,,
MFF-0020,Frag-62975,굴절률(n20),1.459 ~ 1.479,,,,
MFF-0020,Frag-62975,비중(d20),0.936 ~ 0.956,,,,
MFF-0021,Frag-42322,성상,미황색 ~ 황색의 액상,,,,
MFF-0021,Frag-42322,냄새,표준품에 준함,,,,
MFF-0021,Frag-42322,굴절률(n20),1.456 ~ 1.476,,,,
MFF-0021,Frag-42322,비중(d20),0.968 ~ 0.988,,,,
MFF-0022,Frag-42325,성상,무색 ~ 미황색의 액상,,,,
MFF-0022,Frag-42325,냄새,표준품에 준함,,,,
MFF-0022,Frag-42325,굴절률(n20),1.475 ~ 1.498,,,,
MFF-0022,Frag-42325,비중(d20),0.978 ~ 0.998,,,,
MFF-0023,Frag-42492,성상,미황색 ~ 황색의 액상,,,,
MFF-0023,Frag-42492,냄새,표준품에 준함,,,,
MFF-0023,Frag-42492,굴절률(n20),1.460 ~ 1.480,,,,
MFF-0023,Frag-42492,비중(d20),0.976 ~ 0.996,,,,
MFF-0024,Frag-42324,성상,연황색 ~ 황색의 액상,,,,
MFF-0024,Frag-42324,냄새,표준품에 준함,,,,
MFF-0024,Frag-42324,굴절률(n20),1.452 ~ 1.472,,,,
MFF-0024,Frag-42324,비중(d20),0.950 ~ 0.970,,,,
MAF-0008,FruitMax Brown        900 WS,성상,진한 갈색의 액상,,,,
MAF-0008,FruitMax Brown        900 WS,pH,3.0 ~ 4.0,,,,
MAF-0008,FruitMax Brown        900 WS,비중(d20),1.180 ~ 1.210,,,,
MAF-0008,FruitMax Brown        900 WS,미생물,100 cfu/g 이하,,,,
MFF-0025,Frag-86711,성상,무색 ~ 연황색의 액상,,,,
MFF-0025,Frag-86711,냄새,표준품에 준함,,,,
MFF-0025,Frag-86711,굴절률(n20),1.450 ~ 1.470,,,,
MFF-0025,Frag-86711,비중(d20),0.949 ~ 0.969,,,,
MFF-0026,Frag-51140,성상,무색 ~ 연황색의 액상,,,,
MFF-0026,Frag-51140,냄새,표준품에 준함,,,,
MFF-0026,Frag-51140,비중(d20),0.970 ~ 0.990,,,,
MFF-0026,Frag-51140,굴절률(n20),1.458 ~ 1.478,,,,
MFF-0027,Frag-51142,성상,무색 ~ 연황색의 액상,,,,
MFF-0027,Frag-51142,냄새,표준품에 준함,,,,
MFF-0027,Frag-51142,비중(d20),0.964 ~ 0.984,,,,
MFF-0027,Frag-51142,굴절률(n20),1.460 ~ 1.480,,,,
MFF-0028,Frag-51143,성상,무색 ~ 연황색의 액상,,,,
MFF-0028,Frag-51143,냄새,표준품에 준함,,,,
MFF-0028,Frag-51143,비중(d20),0.981 ~ 1.001,,,,
MFF-0028,Frag-51143,굴절률(n20),1.466 ~ 1.486,,,,
MFF-0029,Frag-42501,성상,무색 ~ 연황색의 액상,,,,
MFF-0029,Frag-42501,냄새,표준품에 준함,,,,
MFF-0029,Frag-42501,비중(d20),0.968 ~ 0.988,,,,
MFF-0029,Frag-42501,굴절률(n20),1.458 ~ 1.478,,,,
MFF-0030,Frag-33668,성상,무색 ~ 연황색의 액상,,,,
MFF-0030,Frag-33668,냄새,표준품에 준함,,,,
MFF-0030,Frag-33668,비중(d20),0.992 ± 0.01,,,,
MFF-0030,Frag-33668,굴절률(n20),1.479 ± 0.01,,,,
MFF-0031,Frag-86911,성상,미황색의 액상,,,,
MFF-0031,Frag-86911,냄새,표준품에 준함,,,,
MFF-0031,Frag-86911,비중(d20),0.972 ~ 0.992,,,,
MFF-0031,Frag-86911,굴절률(n20),1.457 ~ 1.477,,,,
MFF-0032,Frag-86912,성상,무색 ~ 연황색의 액상,,,,
MFF-0032,Frag-86912,냄새,표준품에 준함,,,,
MFF-0032,Frag-86912,비중(d20),0.940 ~ 0.960,,,,
MFF-0032,Frag-86912,굴절률(n20),1.470 ~ 1.490,,,,
MFF-0032,Frag-51141,성상,무색 ~ 연황색의 액상,,,,
MFF-0032,Frag-51141,냄새,표준품에 준함,,,,
MFF-0032,Frag-51141,비중(d20),0.960 ~ 0.980,,,,
MFF-0032,Frag-51141,굴절률(n20),1.462 ~ 1.482,,,,
MFF-0034,Frag-42499,성상,연황색의 액상,,,,
MFF-0034,Frag-42499,냄새,표준품에 준함,,,,
MFF-0034,Frag-42499,비중(d20),0.988 ~ 1.008,,,,
MFF-0034,Frag-42499,굴절률(n20),1.472 ~ 1.492,,,,
MFF-0035,Frag-82704,성상,연황색의 액상,,,,
MFF-0035,Frag-82704,냄새,표준품에 준함,,,,
MFF-0035,Frag-82704,비중(d20),0.958 ~ 0.978,,,,
MFF-0035,Frag-82704,굴절률(n20),1.460 ~ 1.480,,,,
MFF-0036,Frag-92520,성상,연황색의 액상,,,,
MFF-0036,Frag-92520,냄새,표준품에 준함,,,,
MFF-0036,Frag-92520,비중(d20),0.946 ~ 0.966,,,,
MFF-0036,Frag-92520,굴절률(n20),1.463 ~ 1.483,,,,
MFF-0037,Frag-52231,성상,연황색의 액상,,,,
MFF-0037,Frag-52231,냄새,표준품에 준함,,,,
MFF-0037,Frag-52231,비중(d20),0.993 ~ 1.013,,,,
MFF-0037,Frag-52231,굴절률(n20),1.465 ~ 1.485,,,,
MFF-0038,Frag-42315,성상,연황색의 액상,,,,
MFF-0038,Frag-42315,냄새,표준품에 준함,,,,
MFF-0038,Frag-42315,비중(d20),0.976 ~ 0.996,,,,
MFF-0038,Frag-42315,굴절률(n20),1.458 ~ 1.478,,,,
MOF-0002,Finsolv TN,성상,무색의 액상,,,,
MOF-0002,Finsolv TN,냄새,표준품에 준함,,,,
MOF-0002,Finsolv TN,굴절률,1.483 ~ 1.487,,,,
MOF-0002,Finsolv TN,검화가,177 ~ 182,,,,
MOF-0002,Finsolv TN,비중,0.915 ~ 0.935,,,,
MOF-0002,Finsolv TN,점도,50 이하,,,,
MFF-0039,Frag-52229,성상,연황색의 액상,,,,
MFF-0039,Frag-52229,냄새,표준품에 준함,,,,
MFF-0039,Frag-52229,비중(d20),0.973 ± 0.01,,,,
MFF-0039,Frag-52229,굴절률(n20),1.451 ± 0.01,,,,
MFF-0040,Frag-53411,성상,무색~연황색의 액상,,,,
MFF-0040,Frag-53411,냄새,표준품에 준함,,,,
MFF-0040,Frag-53411,비중(d20),1.017 ± 0.01,,,,
MFF-0040,Frag-53411,굴절률(n20),1.470 ± 0.01,,,,
MFF-0041,Frag-10664,성상,"무색~연황색의 액상,특이취",,,,
MFF-0041,Frag-10664,냄새,표준품에 준함,,,,
MFF-0041,Frag-10664,비중(d20),0.976 ± 0.01,,,,
MFF-0041,Frag-10664,굴절률(n20),1.474 ± 0.01,,,,
MFF-0042,Frag-10667,성상,무색~연황색의 액상,,,,
MFF-0042,Frag-10667,냄새,표준품에 준함,,,,
MFF-0042,Frag-10667,비중(d20),0.986 ± 0.01,,,,
MFF-0042,Frag-10667,굴절률(n20),1.478 ± 0.01,,,,
MFF-0043,Fragrance A95054,성상,연황색의 액상,,,,
MFF-0043,Fragrance A95054,냄새,표준품에 준함,,,,
MFF-0043,Fragrance A95054,비중(d20),0.938 ~ 0.958,,,,
MFF-0043,Fragrance A95054,굴절률(n20),1.475 ~ 1.485,,,,
MFF-0044,Frag-52233,성상,연황색~황색의 액상,,,,
MFF-0044,Frag-52233,냄새,표준품에 준함,,,,
MFF-0044,Frag-52233,비중(d20),0.893 ± 0.01,,,,
MFF-0044,Frag-52233,굴절률(n20),1.456 ± 0.01,,,,
MFF-0045,Frag-42328,성상,미황색 ~ 황색의 액상,,,,
MFF-0045,Frag-42328,냄새,표준품에 준함,,,,
MFF-0045,Frag-42328,비중(d20),0.982 ± 0.01,,,,
MFF-0045,Frag-42328,굴절률(n20),1.469 ± 0.01,,,,
MFF-0046,Frag-47267,성상,무색 ~ 연황색의 액상,,,,
MFF-0046,Frag-47267,냄새,표준품에 준함,,,,
MFF-0046,Frag-47267,비중(d20),0.958 ± 0.01,,,,
MFF-0046,Frag-47267,굴절률(n20),1.469 ± 0.01,,,,
MFF-0047,Frag-B2857,성상,무색 ~ 연황색의 액상,,,,
MFF-0047,Frag-B2857,냄새,표준품에 준함,,,,
MFF-0047,Frag-B2857,비중(d20),0.896 ± 0.01,,,,
MFF-0047,Frag-B2857,굴절률(n20),1.439 ± 0.01,,,,
MFF-0048,FOR SKIN-40W,성상,황색의 액상,,,,
MFF-0048,FOR SKIN-40W,냄새,표준품에 준함,,,,
MFF-0048,FOR SKIN-40W,비중(d20),0.9483 ~ 0.9683,,,,
MFF-0048,FOR SKIN-40W,굴절률(n20),1.4552 ~ 1.4652,,,,
MFF-0049,FOR SKIN-50W,성상,미황색 ~ 황색의 액상,,,,
MFF-0049,FOR SKIN-50W,냄새,표준품에 준함,,,,
MFF-0049,FOR SKIN-50W,비중(d20),0.9600 ~ 0.9800,,,,
MFF-0049,FOR SKIN-50W,굴절률(n20),1.4649 ~ 1.4749,,,,
MSF-0001,프레쥬 자연약쑥 클렌징 파우더,성상,옅은 녹색 파우더,,,,
MSF-0001,프레쥬 자연약쑥 클렌징 파우더,냄새,표준품에 준함,,,,
MSF-0001,프레쥬 자연약쑥 클렌징 파우더,중금속,20ppm 이하,,,,
MSF-0001,프레쥬 자연약쑥 클렌징 파우더,비소,3ppm 이하,,,,
MSF-0001,프레쥬 자연약쑥 클렌징 파우더,수분,10.0% 이하,,,,
MSF-0001,프레쥬 자연약쑥 클렌징 파우더,P H,5.50 ~ 6.50,,,,
MFF-0050,FOR HAIR-20H,성상,미황색 ~ 황색의 액상,,,,
MFF-0050,FOR HAIR-20H,냄새,표준품에 준함,,,,
MFF-0050,FOR HAIR-20H,비중(d20),0.9090 ~ 0.9290,,,,
MFF-0050,FOR HAIR-20H,굴절률(n20),1.4735 ~ 1.4785,,,,
MFF-0051,FOR SKIN-70W,성상,미황색 ~ 호박색의 액체,,,,
MFF-0051,FOR SKIN-70W,냄새,표준품에 준함,,,,
MFF-0051,FOR SKIN-70W,비중,0.960 ~ 0.980,,,,
MFF-0051,FOR SKIN-70W,굴절률,1.4764 ~ 1.4864,,,,
MAG-0007,Gluadin W-40,성상,"갈색의 액,특이취",,,,
MAG-0007,Gluadin W-40,P H,4.00 ~ 8.00,,,,
MAG-0007,Gluadin W-40,중금속,10ppm 이하,,,,
MAG-0007,Gluadin W-40,비소,2ppm 이하,,,,
MAG-0007,Gluadin W-40,미생물,100cfu/ml이하,,,,
MAG-0009,Green Tea Ext.,성상,어두운 갈색 액체,,,,
MAG-0009,Green Tea Ext.,P H,5.0 ~ 8.0,,,,
MAG-0009,Green Tea Ext.,비중(d25),0.98 ~ 1.04,,,,
MAG-0009,Green Tea Ext.,중금속,10ppm 이하,,,,
MAG-0009,Green Tea Ext.,비소,2ppm 이하,,,,
MAG-0009,Green Tea Ext.,미생물,100Cfu/g이하,,,,
MKG-0001,Glycerin,성상,"무색투명한점성액,단맛",,,,
MKG-0001,Glycerin,비중(d20),1.251 이상,,,,
MKG-0001,Glycerin,중금속,5ppm 이하,,,,
MKG-0001,Glycerin,수분,0.5 이하,,,,
MKG-0001,Glycerin,굴절률,1.473 이상,,,,
MPG-0001,Preservative A15,성상,"백색의고운가루,특이취",,,,
MPG-0001,Preservative A15,P H,6.00 ~ 7.50,,,,
MPG-0001,Preservative A15,중금속,10ppm 이하,,,,
MPG-0001,Preservative A15,건조감량,3% 이하,,,,
MPG-0001,Preservative A15,강열잔분,3% 이하,,,,
MPG-0002,Glydant XL-1000,성상,"무색의맑은액,특이취",,,,
MPG-0002,Glydant XL-1000,비중(d20),1.155 ~ 1.161,,,,
MPG-0002,Glydant XL-1000,P H,6.50 ~ 7.50,,,,
MPG-0002,Glydant XL-1000,수분,31% 이하,,,,
MSG-0005,Glucate DO,성상,"황갈색의점성액,특이취",,,,
MSG-0005,Glucate DO,산가,8 이하,,,,
MSG-0005,Glucate DO,수산기가,140 ~ 165,,,,
MSG-0005,Glucate DO,검화가,145 ~ 160,,,,
MSG-0005,Glucate DO,요오드가,60 ~ 75,,,,
MSG-0005,Glucate DO,중금속/비소,20ppm 이하/2ppm 이하,,,,
MSG-0005,Glucate DO,수분,0.5% 이하,,,,
MXG-0002,"Gold Powder
(금설)",성상,황색의얇고부드러운박편,,,,
MXG-0002,"Gold Powder
(금설)",비중(d20),19.20 ~ 19.40,,,,
MXG-0002,"Gold Powder
(금설)",비소,5ppm 이하,,,,
MFG-0004,Grape 100812,성상,연황갈색의 투명액상,,,,
MFG-0004,Grape 100812,냄새,표준품에 준함,,,,
MFG-0004,Grape 100812,굴절률(n20),1.432 ~ 1.472,,,,
MFG-0004,Grape 100812,비중(d20),0.992 ~ 1.032,,,,
MAG-0012,자몽추출물,성상,"연황색의투명액상,특이취",,,,
MAG-0012,자몽추출물,비중(d20),1.000 ~ 1.040,,,,
MAG-0012,자몽추출물,굴절률(n20),1.350 ~ 1.390,,,,
MAG-0012,자몽추출물,P H,4.00 ~ 6.00,,,,
MAG-0012,자몽추출물,중금속,10ppm 이하,,,,
MAG-0012,자몽추출물,비소,2ppm 이하,,,,
MAG-0012,자몽추출물,미생물,100cfu/g 이하,,,,
MFG-0005,Ginger Mild FO5021665,성상,황갈색 ~ 연황색의 액상,,,,
MFG-0005,Ginger Mild FO5021665,냄새,표준품에 준함,,,,
MFG-0005,Ginger Mild FO5021665,비중(d20),0.939 ~ 0.959,,,,
MFG-0005,Ginger Mild FO5021665,굴절률(n20),1.461 ~ 1.481,,,,
MAG-0004,Gatuline RC,성상,연한갈색의액,,,,
MAG-0004,Gatuline RC,P H,4.50 ~ 5.50,,,,
MAG-0004,Gatuline RC,비중(d20),0.985 ~ 1.015,,,,
MAG-0004,Gatuline RC,비소,2ppm 이하,,,,
MAG-0004,Gatuline RC,미생물,100Cfu/g이하,,,,
MFG-0006,"Grapefruit
95-15P02170",성상,짙은 노란색의 액,,,,
MFG-0006,"Grapefruit
95-15P02170",비중(d20),0.888 ~ 0.908,,,,
MFG-0006,"Grapefruit
95-15P02170",굴절률(n20),1.4759 ~ 1.4959,,,,
MAG-0021,"갈락토 미세스
발효여과물",성상,맑은 투명액상,,,,
MAG-0021,"갈락토 미세스
발효여과물",P H,4.0 ~ 7.0,,,,
MAG-0021,"갈락토 미세스
발효여과물",비중(d20),0.98 ~ 1.04,,,,
MAG-0021,"갈락토 미세스
발효여과물",중금속,10ppm이하,,,,
MAG-0021,"갈락토 미세스
발효여과물",비소,2ppm 이하,,,,
MAG-0021,"갈락토 미세스
발효여과물",미생물,100Cfu/g이하,,,,
MAG-0021,"Grapefruit
95-15P02170",성상,진황색의 액상,,,,
MAG-0021,"Grapefruit
95-15P02170",비중(d20),0.889 ~ 0.909,,,,
MAG-0021,"Grapefruit
95-15P02170",굴절률(n20),1.481 ~ 1.491,,,,
MAG-0022,포도추출물,성상,연황색~갈색 액상,,,,
MAG-0022,포도추출물,P H,4.0 ~ 7.0,,,,
MAG-0022,포도추출물,비중(d20),0.98 ~ 1.04,,,,
MAG-0022,포도추출물,중금속,10ppm이하,,,,
MAG-0022,포도추출물,비소,2ppm 이하,,,,
MAG-0022,포도추출물,미생물,100Cfu/g이하,,,,
MAG-0024,감귤추출물,성상,무색~연한 황색 액상,,,,
MAG-0024,감귤추출물,P H,3.0 ~ 6.0,,,,
MAG-0024,감귤추출물,비중(d20),1.000 ~ 1.040,,,,
MAG-0024,감귤추출물,굴절률,1.330 ~ 1.370,,,,
MAG-0024,감귤추출물,중금속,10ppm이하,,,,
MAG-0024,감귤추출물,비소,2ppm 이하,,,,
MAG-0024,감귤추출물,미생물,100Cfu/g이하,,,,
MAG-0025,고수추출물,성상,무색~연한 황색 액상,,,,
MAG-0025,고수추출물,P H,3.0 ~ 6.0,,,,
