공급업체,향료코드,향료명,알러젠명,INCI명,CAS번호,향료중함량,제품중함량,Leave-on라벨,Rinse-off라벨,파일명
한불화농 향알러지데이타 20190307,15194,BODY CLEANSER A15194/R,BENZYL CINNAMATE,BENZYL CINNAMATE,103-41-3,,,,,BODY CLEANSER A15194R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15194,BODY CLEANSER A15194/R,BENZYL SALICYLATE,BENZYL SALICYLATE,118-58-1,,,YES,YES,BODY CLEANSER A15194R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15194,BODY CLEANSER A15194/R,CINNAMAL,CINNAMAL,104-55-2,,,,,BODY CLEANSER A15194R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15194,BODY CLEANSER A15194/R,CINNAMYL ALCOHOL,CINNAMYL ALCOHOL,104-54-1,,,NO,NO,BODY CLEANSER A15194R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15194,BODY CLEANSER A15194/R,CITRAL,CITRAL,5392-40-5,,,,,BODY CLEANSER A15194R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15194,BODY CLEANSER A15194/R,CITRONELLOL,CITRONELLOL,106-22-9,,,,,BODY CLEANSER A15194R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15194,BODY CLEANSER A15194/R,COUMARINE,COUMARINE,91-64-5,,,,,BODY CLEANSER A15194R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15194,BODY CLEANSER A15194/R,d-LIMONENE,d-LIMONENE,5989-27-5,,,,,BODY CLEANSER A15194R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15194,BODY CLEANSER A15194/R,EUGENOL,EUGENOL,97-53-0,,,YES,NO,BODY CLEANSER A15194R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15194,BODY CLEANSER A15194/R,FARNESOL,FARNESOL,4602-84-0,,,NO,NO,BODY CLEANSER A15194R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15194,BODY CLEANSER A15194/R,GERANIOL,GERANIOL,106-24-1,,,,,BODY CLEANSER A15194R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15194,BODY CLEANSER A15194/R,HEXYL CINNAMAL,HEXYL CINNAMAL,101-86-0,,,YES,YES,BODY CLEANSER A15194R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15194,BODY CLEANSER A15194/R,HYDROXYCITRONELLAL,HYDROXYCITRONELLAL,107-75-5,,,YES,YES,BODY CLEANSER A15194R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15194,BODY CLEANSER A15194/R,ISOEUGENOL,ISOEUGENOL,97-54-1,,,,,BODY CLEANSER A15194R ALLERGEN.xlsx
