공급업체,향료코드,향료명,알러젠명,INCI명,CAS번호,향료중함량,제품중함량,Leave-on라벨,Rinse-off라벨,파일명
도터라인,,Cypress Oil,LYRAL,LYRAL,31906-04-4,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,LYSMERAL,LYSMERAL,80-54-6,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,METHYL HEPTINE CARBONATE,METHYL HEPTINE CARBONATE,111-12-6,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,OAKMOSS EXTRACT,OAKMOSS EXTRACT,90028-68-5,,,,,Cypress Oil.xlsx
도터라인,,Cypress Oil,TREEMOSS EXTRACT,TREEMOSS EXTRACT,90028-67-4,,,,,Cypress Oil.xlsx
도터라인,,EUCALYPTUS OIL,ALPHA-ISOMETHYL IONONE,ALPHA-ISOMETHYL IONONE,127-51-5,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,AMYL CINNAMAL,AMYL CINNAMAL,122-40-7,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,AMYLCINNAMYL ALCOHOL,AMYLCINNAMYL ALCOHOL,101-85-9,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,ANISYL ALCOHOL,ANISYL ALCOHOL,105-13-5,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,BENZYL ALCOHOL,BENZYL ALCOHOL,100-51-6,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,BENZYL BENZOATE,BENZYL BENZOATE,120-51-4,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,BENZYL CINNAMATE,BENZYL CINNAMATE,103-41-3,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,BENZYL SALICYLATE,BENZYL SALICYLATE,118-58-1,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,CINNAMAL,CINNAMAL,104-55-2,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,CINNAMYL ALCOHOL,CINNAMYL ALCOHOL,104-54-1,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,CITRAL,CITRAL,5392-40-5,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,CITRONELLOL,CITRONELLOL,106-22-9,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,COUMARINE,COUMARINE,91-64-5,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,d-LIMONENE,d-LIMONENE,5989-27-5,,,YES,NO,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,EUGENOL,EUGENOL,97-53-0,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,FARNESOL,FARNESOL,4602-84-0,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,GERANIOL,GERANIOL,106-24-1,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,HEXYL CINNAMAL,HEXYL CINNAMAL,101-86-0,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,HYDROXYCITRONELLAL,HYDROXYCITRONELLAL,107-75-5,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,ISOEUGENOL,ISOEUGENOL,97-54-1,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,LINALOOL,LINALOOL,78-70-6,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,LYRAL,LYRAL,31906-04-4,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,LYSMERAL,LYSMERAL,80-54-6,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,METHYL HEPTINE CARBONATE,METHYL HEPTINE CARBONATE,111-12-6,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,OAKMOSS EXTRACT,OAKMOSS EXTRACT,90028-68-5,,,,,Eucalyptus Oil.xlsx
도터라인,,EUCALYPTUS OIL,TREEMOSS EXTRACT,TREEMOSS EXTRACT,90028-67-4,,,,,Eucalyptus Oil.xlsx
도터라인,,Litsea Cubeba Oil,ALPHA-ISOMETHYL IONONE,ALPHA-ISOMETHYL IONONE,127-51-5,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Litsea Cubeba Oil,AMYL CINNAMAL,AMYL CINNAMAL,122-40-7,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Litsea Cubeba Oil,AMYLCINNAMYL ALCOHOL,AMYLCINNAMYL ALCOHOL,101-85-9,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Litsea Cubeba Oil,ANISYL ALCOHOL,ANISYL ALCOHOL,105-13-5,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Litsea Cubeba Oil,BENZYL ALCOHOL,BENZYL ALCOHOL,100-51-6,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Litsea Cubeba Oil,BENZYL BENZOATE,BENZYL BENZOATE,120-51-4,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Litsea Cubeba Oil,BENZYL CINNAMATE,BENZYL CINNAMATE,103-41-3,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Litsea Cubeba Oil,BENZYL SALICYLATE,BENZYL SALICYLATE,118-58-1,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Litsea Cubeba Oil,CINNAMAL,CINNAMAL,104-55-2,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Litsea Cubeba Oil,CINNAMYL ALCOHOL,CINNAMYL ALCOHOL,104-54-1,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Litsea Cubeba Oil,CITRAL,CITRAL,5392-40-5,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Litsea Cubeba Oil,CITRONELLOL,CITRONELLOL,106-22-9,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Litsea Cubeba Oil,COUMARINE,COUMARINE,91-64-5,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Litsea Cubeba Oil,d-LIMONENE,d-LIMONENE,5989-27-5,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Litsea Cubeba Oil,EUGENOL,EUGENOL,97-53-0,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Litsea Cubeba Oil,FARNESOL,FARNESOL,4602-84-0,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Litsea Cubeba Oil,GERANIOL,GERANIOL,106-24-1,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Litsea Cubeba Oil,HEXYL CINNAMAL,HEXYL CINNAMAL,101-86-0,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Litsea Cubeba Oil,HYDROXYCITRONELLAL,HYDROXYCITRONELLAL,107-75-5,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Litsea Cubeba Oil,ISOEUGENOL,ISOEUGENOL,97-54-1,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Litsea Cubeba Oil,LINALOOL,LINALOOL,78-70-6,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Litsea Cubeba Oil,LYRAL,LYRAL,31906-04-4,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Litsea Cubeba Oil,LYSMERAL,LYSMERAL,80-54-6,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Litsea Cubeba Oil,METHYL HEPTINE CARBONATE,METHYL HEPTINE CARBONATE,111-12-6,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Litsea Cubeba Oil,OAKMOSS EXTRACT,OAKMOSS EXTRACT,90028-68-5,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Litsea Cubeba Oil,TREEMOSS EXTRACT,TREEMOSS EXTRACT,90028-67-4,,,,,Litsea Cubeba Oil.xlsx
도터라인,,Orange Oil Vanencia,ALPHA-ISOMETHYL IONONE,ALPHA-ISOMETHYL IONONE,127-51-5,,,,,Orange Oil Vanencia.xlsx
도터라인,,Orange Oil Vanencia,AMYL CINNAMAL,AMYL CINNAMAL,122-40-7,,,,,Orange Oil Vanencia.xlsx
도터라인,,Orange Oil Vanencia,AMYLCINNAMYL ALCOHOL,AMYLCINNAMYL ALCOHOL,101-85-9,,,,,Orange Oil Vanencia.xlsx
도터라인,,Orange Oil Vanencia,ANISYL ALCOHOL,ANISYL ALCOHOL,105-13-5,,,,,Orange Oil Vanencia.xlsx
도터라인,,Orange Oil Vanencia,BENZYL ALCOHOL,BENZYL ALCOHOL,100-51-6,,,,,Orange Oil Vanencia.xlsx
도터라인,,Orange Oil Vanencia,BENZYL BENZOATE,BENZYL BENZOATE,120-51-4,,,,,Orange Oil Vanencia.xlsx
도터라인,,Orange Oil Vanencia,BENZYL CINNAMATE,BENZYL CINNAMATE,103-41-3,,,,,Orange Oil Vanencia.xlsx
도터라인,,Orange Oil Vanencia,BENZYL SALICYLATE,BENZYL SALICYLATE,118-58-1,,,,,Orange Oil Vanencia.xlsx
도터라인,,Orange Oil Vanencia,CINNAMAL,CINNAMAL,104-55-2,,,,,Orange Oil Vanencia.xlsx
도터라인,,Orange Oil Vanencia,CINNAMYL ALCOHOL,CINNAMYL ALCOHOL,104-54-1,,,,,Orange Oil Vanencia.xlsx
도터라인,,Orange Oil Vanencia,CITRAL,CITRAL,5392-40-5,,,NO,NO,Orange Oil Vanencia.xlsx
도터라인,,Orange Oil Vanencia,CITRONELLOL,CITRONELLOL,106-22-9,,,,,Orange Oil Vanencia.xlsx
도터라인,,Orange Oil Vanencia,COUMARINE,COUMARINE,91-64-5,,,,,Orange Oil Vanencia.xlsx
도터라인,,Orange Oil Vanencia,d-LIMONENE,d-LIMONENE,5989-27-5,,,,,Orange Oil Vanencia.xlsx
도터라인,,Orange Oil Vanencia,EUGENOL,EUGENOL,97-53-0,,,,,Orange Oil Vanencia.xlsx
도터라인,,Orange Oil Vanencia,FARNESOL,FARNESOL,4602-84-0,,,,,Orange Oil Vanencia.xlsx
도터라인,,Orange Oil Vanencia,GERANIOL,GERANIOL,106-24-1,,,,,Orange Oil Vanencia.xlsx
도터라인,,Orange Oil Vanencia,HEXYL CINNAMAL,HEXYL CINNAMAL,101-86-0,,,,,Orange Oil Vanencia.xlsx
도터라인,,Orange Oil Vanencia,HYDROXYCITRONELLAL,HYDROXYCITRONELLAL,107-75-5,,,,,Orange Oil Vanencia.xlsx
도터라인,,Orange Oil Vanencia,ISOEUGENOL,ISOEUGENOL,97-54-1,,,,,Orange Oil Vanencia.xlsx
도터라인,,Orange Oil Vanencia,LINALOOL,LINALOOL,78-70-6,,,,,Orange Oil Vanencia.xlsx
도터라인,,Orange Oil Vanencia,LYRAL,LYRAL,31906-04-4,,,,,Orange Oil Vanencia.xlsx
도터라인,,Orange Oil Vanencia,LYSMERAL,LYSMERAL,80-54-6,,,,,Orange Oil Vanencia.xlsx
도터라인,,Orange Oil Vanencia,METHYL HEPTINE CARBONATE,METHYL HEPTINE CARBONATE,111-12-6,,,,,Orange Oil Vanencia.xlsx
도터라인,,Orange Oil Vanencia,OAKMOSS EXTRACT,OAKMOSS EXTRACT,90028-68-5,,,,,Orange Oil Vanencia.xlsx
도터라인,,Orange Oil Vanencia,TREEMOSS EXTRACT,TREEMOSS EXTRACT,90028-67-4,,,,,Orange Oil Vanencia.xlsx
도터라인,,Patchouli Oil,ALPHA-ISOMETHYL IONONE,ALPHA-ISOMETHYL IONONE,127-51-5,,,,,Patchouli Oil Allergen Date.xlsx
도터라인,,Patchouli Oil,AMYL CINNAMAL,AMYL CINNAMAL,122-40-7,,,,,Patchouli Oil Allergen Date.xlsx
도터라인,,Patchouli Oil,AMYLCINNAMYL ALCOHOL,AMYLCINNAMYL ALCOHOL,101-85-9,,,,,Patchouli Oil Allergen Date.xlsx
도터라인,,Patchouli Oil,ANISYL ALCOHOL,ANISYL ALCOHOL,105-13-5,,,,,Patchouli Oil Allergen Date.xlsx
도터라인,,Patchouli Oil,BENZYL ALCOHOL,BENZYL ALCOHOL,100-51-6,,,,,Patchouli Oil Allergen Date.xlsx
도터라인,,Patchouli Oil,BENZYL BENZOATE,BENZYL BENZOATE,120-51-4,,,,,Patchouli Oil Allergen Date.xlsx
도터라인,,Patchouli Oil,BENZYL CINNAMATE,BENZYL CINNAMATE,103-41-3,,,,,Patchouli Oil Allergen Date.xlsx
도터라인,,Patchouli Oil,BENZYL SALICYLATE,BENZYL SALICYLATE,118-58-1,,,,,Patchouli Oil Allergen Date.xlsx
도터라인,,Patchouli Oil,CINNAMAL,CINNAMAL,104-55-2,,,NO,NO,Patchouli Oil Allergen Date.xlsx
도터라인,,Patchouli Oil,CINNAMYL ALCOHOL,CINNAMYL ALCOHOL,104-54-1,,,,,Patchouli Oil Allergen Date.xlsx
도터라인,,Patchouli Oil,CITRAL,CITRAL,5392-40-5,,,NO,NO,Patchouli Oil Allergen Date.xlsx
도터라인,,Patchouli Oil,CITRONELLOL,CITRONELLOL,106-22-9,,,,,Patchouli Oil Allergen Date.xlsx
도터라인,,Patchouli Oil,COUMARINE,COUMARINE,91-64-5,,,,,Patchouli Oil Allergen Date.xlsx
도터라인,,Patchouli Oil,d-LIMONENE,d-LIMONENE,5989-27-5,,,NO,NO,Patchouli Oil Allergen Date.xlsx
