fragrance_id,allergen_id,content_in_fragrance,content_in_product,leave_on_label,rinse_off_label
c2e548bc-59ae-48c4-a137-e7443e6dde8e,006bd578-91fd-4e0e-a536-e211e02c5cec,0.00056,,,
c2e548bc-59ae-48c4-a137-e7443e6dde8e,6f4e1b11-60e9-4e71-a82e-4b0f949a89a9,0.00258,,,
c2e548bc-59ae-48c4-a137-e7443e6dde8e,39d9f0e6-a6cf-42a2-9004-08120c481715,,,,
c2e548bc-59ae-48c4-a137-e7443e6dde8e,868617cd-6b4a-4590-bd7f-ef3fa22f6eb5,,,,
c2e548bc-59ae-48c4-a137-e7443e6dde8e,b5e5bde2-8b68-4fb3-a28b-de83cfb5043f,2e-05,,,
c2e548bc-59ae-48c4-a137-e7443e6dde8e,2e68ac4c-8245-4888-a4ab-06f1bf242951,1.02611,,,
c2e548bc-59ae-48c4-a137-e7443e6dde8e,0ad50bb3-9160-4173-8032-a777e06c7c5b,,,,
c2e548bc-59ae-48c4-a137-e7443e6dde8e,23a994db-a09f-4f2d-aacc-9d2d642c4c78,0.01114,,,
c2e548bc-59ae-48c4-a137-e7443e6dde8e,a114d5fa-0d0f-41c7-b52c-bcb03e6b7bcf,0.00143,,,
c2e548bc-59ae-48c4-a137-e7443e6dde8e,d69421e4-4000-460f-ba00-bcb9937a260b,0.00978,,,
c2e548bc-59ae-48c4-a137-e7443e6dde8e,67c99f15-167a-4aa8-b7a2-68d3faf1370e,0.01702,,,
c2e548bc-59ae-48c4-a137-e7443e6dde8e,a1161fa5-075b-4ca4-a73a-f5e258486013,1.17284,,,
c2e548bc-59ae-48c4-a137-e7443e6dde8e,b31608e4-37b0-48fe-9dc3-8ef901b12896,,,,
c2e548bc-59ae-48c4-a137-e7443e6dde8e,e763595d-2870-4bcb-9e14-7743d4f1e5e1,1.08167,,,
c2e548bc-59ae-48c4-a137-e7443e6dde8e,db165cd9-51d1-4fc4-91c3-4df66c93f4fe,0.00056,,,
c2e548bc-59ae-48c4-a137-e7443e6dde8e,6b6a877a-3260-4923-8695-c6e6f2b5cf0e,,,,
c2e548bc-59ae-48c4-a137-e7443e6dde8e,fd80214f-d96e-4023-805a-e80740ef8e27,0.19367,,,
c2e548bc-59ae-48c4-a137-e7443e6dde8e,b09f97f1-7b86-4138-bff6-006574200b05,1.59314,,,
c2e548bc-59ae-48c4-a137-e7443e6dde8e,3e129410-5f1a-455f-a411-7ce2cb4fab72,1.66505,,,
c2e548bc-59ae-48c4-a137-e7443e6dde8e,a4b0f562-51cf-4b61-bb17-668ca92afe2f,0.00065,,,
c2e548bc-59ae-48c4-a137-e7443e6dde8e,7f1910f0-0e8f-4cb3-8c8b-59af3eec22d2,5.83911,,,
c2e548bc-59ae-48c4-a137-e7443e6dde8e,0758c966-c761-4a2e-8d90-e819995343aa,0.99518,,,
c2e548bc-59ae-48c4-a137-e7443e6dde8e,ad91248d-c692-49e7-8610-b50344f74a54,3.87931,,,
c2e548bc-59ae-48c4-a137-e7443e6dde8e,3b9366e2-f191-46f8-877d-04f1c8a0a86e,,,,
c2e548bc-59ae-48c4-a137-e7443e6dde8e,a441ba50-6b22-4212-ae49-8db580ce6964,,,,
c2e548bc-59ae-48c4-a137-e7443e6dde8e,9c50fb09-2f88-41e8-9ade-bd95352e2fd0,,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,006bd578-91fd-4e0e-a536-e211e02c5cec,,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,6f4e1b11-60e9-4e71-a82e-4b0f949a89a9,,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,39d9f0e6-a6cf-42a2-9004-08120c481715,,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,868617cd-6b4a-4590-bd7f-ef3fa22f6eb5,,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,b5e5bde2-8b68-4fb3-a28b-de83cfb5043f,,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,2e68ac4c-8245-4888-a4ab-06f1bf242951,,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,0ad50bb3-9160-4173-8032-a777e06c7c5b,,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,23a994db-a09f-4f2d-aacc-9d2d642c4c78,,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,a114d5fa-0d0f-41c7-b52c-bcb03e6b7bcf,,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,d69421e4-4000-460f-ba00-bcb9937a260b,,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,67c99f15-167a-4aa8-b7a2-68d3faf1370e,0.00473,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,a1161fa5-075b-4ca4-a73a-f5e258486013,,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,b31608e4-37b0-48fe-9dc3-8ef901b12896,,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,e763595d-2870-4bcb-9e14-7743d4f1e5e1,12.73924,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,db165cd9-51d1-4fc4-91c3-4df66c93f4fe,,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,6b6a877a-3260-4923-8695-c6e6f2b5cf0e,,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,fd80214f-d96e-4023-805a-e80740ef8e27,,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,b09f97f1-7b86-4138-bff6-006574200b05,,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,3e129410-5f1a-455f-a411-7ce2cb4fab72,,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,a4b0f562-51cf-4b61-bb17-668ca92afe2f,,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,7f1910f0-0e8f-4cb3-8c8b-59af3eec22d2,3.26141,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,0758c966-c761-4a2e-8d90-e819995343aa,,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,ad91248d-c692-49e7-8610-b50344f74a54,,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,3b9366e2-f191-46f8-877d-04f1c8a0a86e,,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,a441ba50-6b22-4212-ae49-8db580ce6964,,,,
73eed36a-9fce-4c5e-b417-b080826c1ab0,9c50fb09-2f88-41e8-9ade-bd95352e2fd0,,,,
af42ca70-8667-4f7a-a22e-1b13495fbab0,006bd578-91fd-4e0e-a536-e211e02c5cec,2.91667,0.00583334,YES,YES
af42ca70-8667-4f7a-a22e-1b13495fbab0,6f4e1b11-60e9-4e71-a82e-4b0f949a89a9,,,,
af42ca70-8667-4f7a-a22e-1b13495fbab0,39d9f0e6-a6cf-42a2-9004-08120c481715,,,,
af42ca70-8667-4f7a-a22e-1b13495fbab0,868617cd-6b4a-4590-bd7f-ef3fa22f6eb5,,,,
af42ca70-8667-4f7a-a22e-1b13495fbab0,b5e5bde2-8b68-4fb3-a28b-de83cfb5043f,0.91667,0.00183334,YES,YES
af42ca70-8667-4f7a-a22e-1b13495fbab0,2e68ac4c-8245-4888-a4ab-06f1bf242951,,,,
af42ca70-8667-4f7a-a22e-1b13495fbab0,0ad50bb3-9160-4173-8032-a777e06c7c5b,,,,
af42ca70-8667-4f7a-a22e-1b13495fbab0,23a994db-a09f-4f2d-aacc-9d2d642c4c78,6.0,0.012,YES,YES
af42ca70-8667-4f7a-a22e-1b13495fbab0,a114d5fa-0d0f-41c7-b52c-bcb03e6b7bcf,,,,
af42ca70-8667-4f7a-a22e-1b13495fbab0,d69421e4-4000-460f-ba00-bcb9937a260b,,,,
af42ca70-8667-4f7a-a22e-1b13495fbab0,67c99f15-167a-4aa8-b7a2-68d3faf1370e,0.00029,5.800000000000001e-07,NO,NO
af42ca70-8667-4f7a-a22e-1b13495fbab0,a1161fa5-075b-4ca4-a73a-f5e258486013,0.50737,0.00101474,YES,YES
af42ca70-8667-4f7a-a22e-1b13495fbab0,b31608e4-37b0-48fe-9dc3-8ef901b12896,0.0002,4.0000000000000003e-07,NO,NO
af42ca70-8667-4f7a-a22e-1b13495fbab0,e763595d-2870-4bcb-9e14-7743d4f1e5e1,0.11467,0.00022934,YES,YES
af42ca70-8667-4f7a-a22e-1b13495fbab0,db165cd9-51d1-4fc4-91c3-4df66c93f4fe,0.25,0.0005,YES,YES
af42ca70-8667-4f7a-a22e-1b13495fbab0,6b6a877a-3260-4923-8695-c6e6f2b5cf0e,,,,
af42ca70-8667-4f7a-a22e-1b13495fbab0,fd80214f-d96e-4023-805a-e80740ef8e27,0.83333,0.00166666,YES,YES
af42ca70-8667-4f7a-a22e-1b13495fbab0,b09f97f1-7b86-4138-bff6-006574200b05,,,,
af42ca70-8667-4f7a-a22e-1b13495fbab0,3e129410-5f1a-455f-a411-7ce2cb4fab72,0.45833,0.00091666,YES,YES
