id,product_code,source_filename,product_name,batch_number,batch_unit,dept_name,actual_qty,mfg_date,operator,approver_1,approver_2,approver_3,notes_content,total_time,special_notes,step_count
dcd3d7f6-465a-421f-a9d5-75af5f57c941,KSMSR00,KSMSR_까마올소 마일드트리트먼트스킨.xlsx,까마올소 마일드 트리트먼트 스킨,,Kg,,Kg,,,결 재,담 당,부서장,,,,6
d9bcfb32-b33b-4596-95d1-f52e9b0d65f9,LAHC000,LAHC_에바스 레몬에이드핸드크림.xlsx,에바스 레몬에이드 핸드크림,,Kg,,Kg,,,결 재,담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,10
beff6286-cf2f-45dc-947d-f83557b8d4cd,LBCR000,LBCR_로즈문 씨씨크림.xlsx,로즈문 씨씨 크림,,Kg,,Kg,,,결 재,담 당,부서장,,,,7
544e410b-b816-4079-adc4-8a4681bf71fd,MLAL_______,MLAL_미미로린스 어포더블럭셔리.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,,,,6
4e870634-ffef-4deb-a409-f809d9e03354,MLBC______,MLBC006-010_미미로린스 하니수플레크리미바디워시.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,,,,5
a5bf0aa1-bc78-428e-95f8-ce7d244f41cb,MLBC______,MLBC_미미로린스 씬트리메인퍼퓸드바디워시.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,,,,6
ab961004-1256-46e6-9124-05322a7c69be,MLBC______,MLBC_미미로린스 하니수플레크리미인바디워시.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,,,,5
eec5fbc5-0a33-4016-afe5-bd329eb14880,MLBL_____,MLBL_미미로린스 씬트리메인퍼퓸드바디에멀젼.xlsx,미미로린스 모먼트 바디로션,,Kg,,Kg,,,결 재,담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,9
0b766055-2f60-456b-938e-11bb304894da,MLBM_______,MLBM002-4_미미로린스 모먼트코스트 바디미스트.xlsx,미미로린스 모먼트 코스트 바디미스트,,Kg,,Kg,,,결 재,담 당,부서장,,,,2
4d560cbe-ec65-4825-801b-8df55d82faf2,MLBM001,MLBM_미미로린스 씬트리메인퍼퓸드바디미스트.xlsx,미미로린스 씬트리메인 퍼퓸드 바디미스트,,Kg,,Kg,,,결 재,담 당,부서장,,,,2
