ingredient_code,ingredient_name,manufacturer,origin_country,purchase_type,purchase_method,coa_urls,composition_urls,msds_kr_urls,msds_en_urls
MAB-0015,푸른연꽃추출물-PF,㈜즐거운회사,㈜즐거운회사,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0015/COA/MAB-0015_COA_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0015/COA/MAB-0015_COA_002.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0015/COMP/MAB-0015_COMP_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0015/COMP/MAB-0015_COMP_002.pdf""}",{},{}
MAB-0016,비피다발효추출물-HD,㈜즐거운회사,㈜즐거운회사,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0016/COA/MAB-0016_COA_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0016/COA/MAB-0016_COA_002.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0016/COMP/MAB-0016_COMP_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0016/COMP/MAB-0016_COMP_002.pdf""}",{},{}
MAB-0017,D-Biotin,NHU,(주)블루켐,무작위,원료실,{},"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0017/COMP/MAB-0017_COMP_001.pdf""}",{},{}
MAB-0018,BioDTox,바이오스펙트럼㈜,바이오스펙트럼㈜,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0018/COA/MAB-0018_COA_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0018/COA/MAB-0018_COA_002.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0018/COMP/MAB-0018_COMP_001.pdf""}",{},{}
MAB-0019,Brillain MB218,"BEIJING BRILLIANCE BIOTECH CO., LTD.",(주)블루켐,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0019/COA/MAB-0019_COA_001.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAB-0019/COMP/MAB-0019_COMP_001.pdf""}",{},{}
MAC-0001,캐모마일꽃추출물 [Chamomile Ext.],(주)즐거운회사,(주)즐거운회사,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0001/COA/MAC-0001_COA_002.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0001/COA/MAC-0001_COA_004.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0001/COA/MAC-0001_COA_003.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0001/COA/MAC-0001_COA_001.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0001/COMP/MAC-0001_COMP_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0001/COMP/MAC-0001_COMP_002.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0001/COMP/MAC-0001_COMP_003.pdf""}",{},{}
MAC-0016,CM-Glucan,Mibelle AG,세일,무작위,원료실,{},{},"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0016/MSDS_KR/MAC-0016_MSDS_KR_001.pdf""}",{}
MAC-0018,"Ceramide 3B,DS-CeramideY30",Solus,(주)모아캠,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0018/COA/MAC-0018_COA_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0018/COA/MAC-0018_COA_002.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0018/COMP/MAC-0018_COMP_001.pdf""}",{},{}
MAC-0021,Caffein,Kaden,랩싸이언스,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0021/COA/MAC-0021_COA_001.pdf""}",{},{},{}
MAC-0025,Cucumber Extract,유로코스텍,유로코스텍,무작위,원료실,{},{},{},{}
