id,allergen_name,inci_name,cas_no
a1dc3b7d-c270-4514-b248-564960638fda,Amyl Cinnamyl Alcohol,Amyl Cinnamyl Alcohol,101-85-9
ca792007-55f9-4875-a471-46b7dc7b2eb8,Amyl Salicylate,Amyl Salicylate,2050-08-0
e3510e86-513d-4eec-b563-6c78a3060ba6,Anethole,Anethole,104-46-1 4180-23-8
b43a8400-411f-4207-9581-2276a10465b2,Anisyl Alcohol,Anisyl Alcohol,105-13-5
721e1422-b214-4ca4-8db2-b9721f6c61c3,Benzaldehyde,Benzaldehyde,100-52-7
b527fb4c-248c-4f7a-b2cd-c06a1c47372c,Benzyl Alcohol,Benzyl Alcohol,100-51-6
cc996c4d-7d90-47fd-87e9-c6aac321234d,Benzyl Benzoate,Benzyl Benzoate,120-51-4
645e336e-fded-4f65-974d-6451d1fd9723,Benzyl Cinnamate,Benzyl Cinnamate,103-41-3
1b3b1476-75f1-46a4-a2f5-3c1d14a59e0b,Benzyl Salicylate,Benzyl Salicylate,118-58-1
2f3c6409-792e-4a4c-af4e-8b321facf6dc,Beta-Caryophyllene,Beta-Caryophyllene,87-44-5
f29144d7-c449-4193-830a-a78e8b205d16,Butylphenyl Methylpropional,Butylphenyl Methylpropional,80-54-6
58acde22-ba1e-4236-a49b-86cc6e7a9435,Camphor,Camphor,76-22-2 464-48-2 464-49-3 21368-68-3
6fd6cfa6-fdb0-4b07-801f-5c1f89c3ae74,Cananga Odorata Flower Oil,Cananga Odorata Flower Oil,8006-81-3 68606-83-7 83863-30-3 93686-30-7
8e6c1ead-e427-4fdc-b255-93f59792e3bf,Carvone,Carvone,99-49-0 2244-16-8 6485-40-1
2a5cb04c-9f29-4e06-87ee-293a39297f9e,Cedrus Atlantica Wood Oil,Cedrus Atlantica Wood Oil,8023-85-6 92201-55-3
add0612e-4915-4d7b-98ca-3d2eeeb54461,Cinnamal,Cinnamal,104-55-2
8cca3761-73ab-4d0c-a875-5db4375da490,Cinnamomum Cassia Leaf Oil,Cinnamomum Cassia Leaf Oil,8007-80-5 84961-46-6
47f38da5-9c53-4374-858e-9fb33ae4aef3,Cinnamomum Zeylanicum Bark Oil,Cinnamomum Zeylanicum Bark Oil,8015-91-6 84649-98-9
7b3e6b2c-5e7d-487f-8048-bdff45b41027,Cinnamyl Alcohol,Cinnamyl Alcohol,104-54-1
7949dbf5-fddc-4597-9f67-b0ae4b9ac200,Citral,Citral,106-26-3 141-27-5 5392-40-5
ea6206c9-3085-44f3-ad53-444630b173c9,Citronellol,Citronellol,106-22-9 1117-61-9 7540-51-4 26489-01-0
9a034efa-91b4-4f7b-9ae3-131248e1b9ca,Citrus Aurantium Bergamia Peel Oil,Citrus Aurantium Bergamia Peel Oil,8007-75-8 68648-33-9 85049-52-1 89957-91-5
089e4aa5-adb0-4b2c-9c11-28ca7d95e8b9,Citrus Aurantium Dulcis Flower Oil,Citrus Aurantium Dulcis Flower Oil,8016-38-4 8028-48-6 72968-50-4
a40c6e69-2e7c-4bf7-abb0-89d59c844afa,Citrus Aurantium Dulcis Peel Oil,Citrus Aurantium Dulcis Peel Oil,8008-57-9 8028-48-6 68916-04-1 72968-50-4 97766-30-8
e9816a4a-54a1-478a-9440-d7083821fed4,Citrus Limon Peel Oil,Citrus Limon Peel Oil,8008-56-8 84929-31-7
6bde2d73-33d0-4808-ae89-e0f7248bd56c,Coumarin,Coumarin,91-64-5
7600c94c-9ec8-4b1e-95a6-cc9b7e896673,Cymbopogon Citratus Leaf Oil,Cymbopogon Citratus Leaf Oil,8007-02-1 89998-16-3 91844-92-7
f0603acc-1690-4395-b66a-2352b438bf3f,Dimethyl Phenethyl Acetate,Dimethyl Phenethyl Acetate,151-05-3
56ea4617-40d0-4623-aba8-95d4743f0a64,Ebanol,Ebanol,67801-20-1
907c4626-41da-48d1-bedb-83b0ff3538b9,Eucalyptus Globulus Leaf Oil,Eucalyptus Globulus Leaf Oil,8000-48-4 97926-40-4
69166516-1f11-459c-b5a3-dfae1f053da3,Eugenia Caryophyllus Leaf Oil,Eugenia Caryophyllus Leaf Oil,8000-34-8 8015-97-2 84961-50-2
48294e40-8abf-4be7-ae66-9455a4a1fbf7,Eugenol,Eugenol,97-53-0
5f55a9a9-3a4b-48be-8f77-ac0d779a754c,Eugenyl Acetate,Eugenyl Acetate,93-28-7
3956ab8c-751a-4bf7-a2a1-51c3385d1ff0,Evernia Furfuracea (Treemoss) Extract,Evernia Furfuracea (Treemoss) Extract,90028-67-4
e392e785-a5f0-4f44-999e-4507f9c4a7be,Evernia Prunastri (Oakmoss) Extract,Evernia Prunastri (Oakmoss) Extract,90028-68-5
ecf70ba0-366b-46a7-ad30-f493fbe34760,Farnesol,Farnesol,4602-84-0
0aac1be2-8d6e-46d0-9aa8-230a9c92eb4e,Geraniol,Geraniol,106-24-1
943a6f0d-f3c9-4c3c-b7ff-58aa97b42322,Geranyl Acetate,Geranyl Acetate,105-87-3
d8eb5cfa-20c5-4710-9906-c7ede275a0eb,Hexadecanolactone,Hexadecanolactone,109-29-5
950ab6d3-c56e-404a-8b4f-878fc64d6edd,Hexamethylindanopyran,Hexamethylindanopyran,1222-05-5
ba7eda29-6e24-4f2c-b642-cb845480443f,Hexyl Cinnamal,Hexyl Cinnamal,101-86-0
83b85ed4-1e37-43da-90ab-47b6b2392d8d,Hydroxycitronellal,Hydroxycitronellal,107-75-5
084f5648-b0fc-4726-bc23-b779f0f50f9a,Isoeugenol,Isoeugenol,97-54-1 5912-86-7 5932-68-3
630f4eb9-2b7d-40bb-a3b3-6438ef0c6023,Isoeugenyl Acetate,Isoeugenyl Acetate,93-29-8
7e695a2a-2677-43b1-9d27-32b0d07255dd,Jasminum Officinale Oil,Jasminum Officinale Oil,8022-96-6 8024-43-9 84776-64-7 90045-94-6
6a31e66f-0a5f-4ed2-a261-9b27191ddffe,Juniperus Virginiana Wood Oil,Juniperus Virginiana Wood Oil,8000-27-9 85085-41-2
3ae93037-94d7-49a2-82df-37a110b3e5ab,Laurus Nobilis Leaf Oil,Laurus Nobilis Leaf Oil,8002-41-3 8007-48-5 84603-73-6
485fb2eb-da2e-421d-8f26-c1d5f5b511b3,Lavandula Hybrida Oil,Lavandula Hybrida Oil,8000-28-0 8022-15-9 84776-65-8 90063-37-9 91722-69-9 92623-76-2 93455-96-0 93455-97-1
6856ba51-3758-4481-a480-a664954a6691,Limonene,Limonene,138-86-3 5989-27-5 5989-54-8 7705-14-8
771e3016-86b7-4718-9a3b-9c42ebacdc6e,Linalool,Linalool,78-70-6
9fba2a64-41bb-45c1-a4ff-7f2a14993578,Linalyl Acetate,Linalyl Acetate,115-95-7
5eb54337-10e9-46ea-a238-49914425556f,Lippia Citriodora Absolute,Lippia Citriodora Absolute,8024-12-2 85116-63-8
f6afa453-9ab1-4f8a-bf90-258c8b9f365e,Lyral,Lyral,31906-04-4
497a2a04-4d50-42e9-94e3-6ae5a39f65ee,Mentha Piperita Oil,Mentha Piperita Oil,8006-90-4 84082-70-2
af687b94-7bc4-426b-968a-9af1ea1862b2,Mentha Viridis Leaf Oil,Mentha Viridis Leaf Oil,8008-79-5 84696-51-5
6f336134-67ff-446f-916c-12e6bec6137d,Menthol,Menthol,89-78-1 1490-04-6 2216-51-5 15356-60-2
e5e291e7-a656-4cfb-a83a-4ce7ff08bd3a,Methyl 2-Octynoate,Methyl 2-Octynoate,111-12-6
