ingredient_code,component_order,inci_name_en,inci_name_kr,cas_number,composition_ratio,function,country_of_origin
MAY-0003,3,Phenoxyethanol,,122-99-6,0.9,Skin Conditioning Agent,대한민국
MAY-0003,4,Velvet Extract,녹용추출물,-,0.2,Skin Conditioning Agent,대한민국
MAY-0003,5,Ganoderma Lucidum (Mushroom) Stem Extract,영지버섯줄기추출물,223751-82-4,0.2,Skin Conditioning Agent,대한민국
MAY-0003,6,Panax Ginseng Root Extract,산양삼추출물,72480-62-7,0.2,Skin Conditioning Agent,대한민국
MAY-0003,7,Asparagus Officinalis Root Extract,아스파라거스뿌리추출물,84649-90-1,0.2,Skin Conditioning Agent,대한민국
MAY-0003,8,Astragalus Membranaceus Root Extract,황기뿌리추출물,94166-93-5,0.2,Skin Conditioning Agent,대한민국
MAY-0003,9,Ethylhexylglycerin,,70445-33-9,0.1,Skin Conditioning Agent,대한민국
MAY-0005,1,Water,정제수,7732-18-5,55,Skin Conditioning Agent,대한민국
MAY-0005,2,Butylene Glycol,부틸렌글라이콜,107-88-0,40,Skin Conditioning Agent,대한민국
MAY-0005,3,Camellia Japonica Flower Extract,동백나무꽃추출물,223748-13-8,5,Skin Conditioning Agent,대한민국
MAY-0007,1,Water,정제수,7732-18-5,55,Skin Conditioning Agent,대한민국
MAY-0007,2,Butylene Glycol,부틸렌글라이콜,107-88-0,40,Skin Conditioning Agent,대한민국
MAY-0007,3,Artemisia Princeps Leaf Extract,쑥잎추출물,223747-95-3,5,Skin Conditioning Agent,대한민국
MAY-0008,1,Water,정제수,7732-18-5,55,Skin Conditioning Agent,대한민국
MAY-0008,2,Butylene Glycol,부틸렌글라이콜,107-88-0,30,Skin Conditioning Agent,대한민국
MAY-0008,3,Brassica Oleracea Capitata (Cabbage) Leaf Extract,양배추추출물,89958-13-4,10,Skin Conditioning Agent,대한민국
MAY-0008,4,Glycerin,글리세린,56-81-5,5,Skin Conditioning Agent,대한민국
MAY-0009,1,Water,정제수,7732-18-5,55,Skin Conditioning Agent,
MAY-0009,2,Alcohol,에탄올,64-17-5,40,Skin Conditioning Agent,
MAY-0009,3,Nelumbo Nucifera Flower Extract,연꽃추출물,85085-51-4,5,Skin Conditioning Agent,
MAY-0010,1,Water,정제수,7732-18-5,55,Skin Conditioning Agent,대한민국
MAY-0010,2,Butylene Glycol,부틸렌글라이콜,107-88-0,40,Skin Conditioning Agent,대한민국
MAY-0010,3,Houttuynia Cordata Extract,약모밀추출물,164288-50-0,5,Skin Conditioning Agent,대한민국
MAY-0011,1,Butylene Glycol,부틸렌글라이콜,107-88-0,30,Skin Conditioning Agent,대한민국
MAY-0011,2,Water,,-,34.5,Skin Conditioning Agent,대한민국
